,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q1028181|Q1281618|Q483501|Q3076908|Q482980|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q483501|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q49757|,,,,,,,,,,,,,,,5.0,
Q1028181|Q1281618|Q49757|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q5322166|,,,,,,,,,,,,,,,3.0,
Q1028181|Q1281618|Q5322166|Q329439|Q16947657|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q627325|,,,,,,,,,,,,,,,5.0,
Q1028181|Q1281618|Q627325|Q15966904|Q2490358|Q7541856|Q739437|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q627325|Q36180|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q639669|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q644687|,,,,,,,,,,,,,,1.0,13.0,
Q1028181|Q1281618|Q7432601|,,,,,,,,,,,,,,1.0,,
Q1028181|Q1281618|Q7541856|,,,,,,,,,,,,,,1.0,11.0,
Q1028181|Q1281618|Q805221|,,,,,,,,,,,,,,1.0,,
Q1028181|Q1281618|Q82955|,,,,,,,,,,,,,,,2.0,
Q1028181|Q1281618|Q82955|Q30185|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q987061|,,,,,,,,,,,,,,,1.0,
Q1028181|Q1281618|Q998628|,,,,,,,,,,,,,,,2.0,
Q1028181|Q1281618|Q998628|Q1708232|,,,,,,,,,,,,,,,1.0,
Q1028181|Q131524|,,,,,,,,,,,,,,1.0,2.0,
Q1028181|Q13156709|,,,,,,,,,,,,,,1.0,,
Q1028181|Q1323191|,,,,,,,,,,,,,,,4.0,
Q1028181|Q133067|Q483501|,,,,,,,,,,,,,,1.0,,
