,nan,transgender female,intersex,fa'afafine,transgender,American football player,Gender fluid,sociologist,transgender male,female creature,male creature,woman,genderqueer,female,male,kathoey
Q270389|Q1930187|Q36180|Q1155838|,,,,,,,,,,,,,,,1.0,
Q270389|Q1930187|Q36180|Q1248362|,,,,,,,,,,,,,,1.0,,
Q270389|Q1930187|Q947873|,,,,,,,,,,,,,,,1.0,
Q270389|Q2722764|,,,,,,,,,,,,,,,4.0,
Q270389|Q2722764|Q10730252|,,,,,,,,,,,,,,,1.0,
Q270389|Q2722764|Q130857|Q1930187|Q578109|,,,,,,,,,,,,,,,1.0,
Q270389|Q2722764|Q1930187|,,,,,,,,,,,,,,,1.0,
Q270389|Q2722764|Q1930187|Q188094|Q947873|,,,,,,,,,,,,,,,1.0,
Q270389|Q2722764|Q947873|,,,,,,,,,,,,,,,1.0,
Q270389|Q2722764|Q947873|Q1930187|Q13590141|,,,,,,,,,,,,,,,2.0,
Q270389|Q2722764|Q947873|Q578109|Q13590141|,,,,,,,,,,,,,,,1.0,
Q270389|Q3282637|Q2519376|Q1930187|,,,,,,,,,,,,,,1.0,,
Q270389|Q33999|,,,,,,,,,,,,,,5.0,,
Q270389|Q36180|Q15214752|,,,,,,,,,,,,,,,1.0,
Q270389|Q36180|Q1930187|,,,,,,,,,,,,,,1.0,2.0,
Q270389|Q4270517|Q2722764|Q131524|,,,,,,,,,,,,,,,1.0,
Q270389|Q459426|Q10800557|Q33999|Q947873|,,,,,,,,,,,,,,1.0,,
Q270389|Q4610556|,,,,,,,,,,,,,,2.0,,
Q270389|Q482980|Q12299841|Q1930187|,,,,,,,,,,,,,,,1.0,
Q270389|Q482980|Q1930187|,,,,,,,,,,,,,,1.0,1.0,
Q270389|Q6625963|,,,,,,,,,,,,,,,1.0,
Q270389|Q947873|,,,,,,,,,,,,,,10.0,9.0,
Q270389|Q947873|Q10843263|Q13590141|,,,,,,,,,,,,,,1.0,,
Q270389|Q947873|Q1086863|,,,,,,,,,,,,,,1.0,,
Q270389|Q947873|Q13590141|,,,,,,,,,,,,,,7.0,7.0,
Q270389|Q947873|Q13590141|Q1930187|,,,,,,,,,,,,,,1.0,,
Q270389|Q947873|Q177220|Q13590141|,,,,,,,,,,,,,,1.0,,
Q270389|Q947873|Q1930187|,,,,,,,,,,,,,,7.0,7.0,
Q270389|Q947873|Q1930187|Q13590141|,,,,,,,,,,,,,,2.0,4.0,
Q270389|Q947873|Q1930187|Q8246794|,,,,,,,,,,,,,,,1.0,
Q270389|Q947873|Q2548714|Q13590141|,,,,,,,,,,,,,,,1.0,
Q270389|Q947873|Q36180|Q1086863|Q1930187|Q13590141|,,,,,,,,,,,,,,,1.0,
Q270389|Q947873|Q36180|Q13590141|,,,,,,,,,,,,,,,1.0,
Q270389|Q947873|Q482980|Q1930187|,,,,,,,,,,,,,,,1.0,
Q270389|Q947873|Q82955|Q13590141|,,,,,,,,,,,,,,1.0,,
Q2705098|,1.0,,,,,,,,,,,,,4.0,1.0,
Q2705098|Q13474373|,,,,,,,,,,,,,,,1.0,
Q2705098|Q3357567|,,,,,,,,,,,,,,1.0,,
Q2705098|Q3357567|Q4610556|,,,,,,,,,,,,,,1.0,,
Q2705098|Q947873|,,,,,,,,,,,,,,,1.0,
Q2707485|,,,,,,,,,,,,,,8.0,216.0,
Q2707485|Q1028181|,,,,,,,,,,,,,,,6.0,
Q2707485|Q1028181|Q1323191|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1028181|Q329439|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1028181|Q5322166|Q42973|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1028181|Q644687|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1248362|,,,,,,,,,,,,,,,2.0,
Q2707485|Q1323191|,,,,,,,,,,,,,,,24.0,
Q2707485|Q1323191|Q1028181|,,,,,,,,,,,,,,,3.0,
Q2707485|Q1323191|Q36180|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1323191|Q5322166|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1323191|Q706364|,,,,,,,,,,,,,,,1.0,
Q2707485|Q13381863|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1622272|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1823479|,,,,,,,,,,,,,,,1.0,
Q2707485|Q1930187|,,,,,,,,,,,,,,,1.0,
Q2707485|Q2815948|,,,,,,,,,,,,,,,1.0,
Q2707485|Q28389|,,,,,,,,,,,,,,,1.0,
Q2707485|Q28389|Q1323191|,,,,,,,,,,,,,,,1.0,
Q2707485|Q3282637|,,,,,,,,,,,,,,,2.0,
Q2707485|Q3282637|Q1028181|,,,,,,,,,,,,,,,1.0,
Q2707485|Q3282637|Q1323191|,,,,,,,,,,,,,,,1.0,
Q2707485|Q3391743|,,,,,,,,,,,,,,,1.0,
Q2707485|Q33999|,,,,,,,,,,,,,,,2.0,
Q2707485|Q33999|Q3282637|,,,,,,,,,,,,,,,1.0,
Q2707485|Q36180|,,,,,,,,,,,,,,,1.0,
Q2707485|Q42973|,,,,,,,,,,,,,,,11.0,
Q2707485|Q42973|Q1028181|,,,,,,,,,,,,,,,1.0,
Q2707485|Q483501|,,,,,,,,,,,,,,1.0,,
Q2707485|Q5322166|,,,,,,,,,,,,,,,1.0,
Q2707485|Q5322166|Q33999|,,,,,,,,,,,,,,1.0,,
Q2707485|Q6409989|,,,,,,,,,,,,,,,1.0,
Q2707485|Q644687|Q1028181|,,,,,,,,,,,,,,,1.0,
Q2707485|Q644687|Q706364|,,,,,,,,,,,,,,,1.0,
Q2707485|Q706364|,,,,,,,,,,,,,,,3.0,
Q2707485|Q81096|Q42973|Q1028181|,,,,,,,,,,,,,,,1.0,
Q2707485|Q8178443|,,,,,,,,,,,,,,,1.0,
Q2707485|Q82955|,,,,,,,,,,,,,,,1.0,
Q2715328|,,,,,,,,,,,,,,,1.0,
Q271588|,,,,,,,,,,,,,,1.0,1.0,
Q271588|Q1028181|,,,,,,,,,,,,,,,1.0,
Q2722764|,6.0,,,,,,,,,,,,,311.0,1460.0,
Q2722764|Q10730252|,,,,,,,,,,,,,,1.0,16.0,
Q2722764|Q10730252|Q2548714|,,,,,,,,,,,,,,,1.0,
Q2722764|Q10730252|Q578109|Q2059704|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1086863|,,,,,,,,,,,,,,1.0,1.0,
Q2722764|Q1086863|Q36180|Q1930187|,,,,,,,,,,,,,,,1.0,
Q2722764|Q10871364|,,,,,,,,,,,,,,,1.0,
Q2722764|Q10871364|Q33999|,,,,,,,,,,,,,,,1.0,
Q2722764|Q10871364|Q40348|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1234713|Q482980|,,,,,,,,,,,,,,1.0,,
Q2722764|Q12800682|Q15981151|,,,,,,,,,,,,,,,1.0,
Q2722764|Q130857|,,,,,,,,,,,,,,,25.0,
Q2722764|Q130857|Q947873|Q578109|,,,,,,,,,,,,,,1.0,,
Q2722764|Q131524|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1350157|,,,,,,,,,,,,,,,1.0,
Q2722764|Q13582652|,,,,,,,,,,,,,,,1.0,
Q2722764|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q13590141|Q130857|,,,,,,,,,,,,,,,1.0,
Q2722764|Q13590141|Q36180|Q1930187|,,,,,,,,,,,,,,1.0,,
Q2722764|Q1371925|,1.0,,,,,,,,,,,,,1.0,,
Q2722764|Q14128148|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1476215|,,,,,,,,,,,,,,,1.0,
Q2722764|Q148401|Q33999|Q6625963|Q17307272|Q2742277|,,,,,,,,,,,,,,,1.0,
Q2722764|Q15809665|Q2526255|,,,,,,,,,,,,,,,1.0,
Q2722764|Q15981151|,,,,,,,,,,,,,,,3.0,
Q2722764|Q15982858|,,,,,,,,,,,,,,1.0,2.0,
Q2722764|Q15982858|Q18814623|,,,,,,,,,,,,,,,1.0,
Q2722764|Q15982858|Q40348|,,,,,,,,,,,,,,,1.0,
Q2722764|Q15982858|Q753110|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1622272|Q15627169|,,,,,,,,,,,,,,,1.0,
Q2722764|Q16533|Q947873|Q40348|Q482980|,,,,,,,,,,,,,,,1.0,
Q2722764|Q16614000|Q947873|Q482980|,,,,,,,,,,,,,,1.0,,
Q2722764|Q177220|,,,,,,,,,,,,,,2.0,6.0,
Q2722764|Q177220|Q130857|,,,,,,,,,,,,,,,1.0,
Q2722764|Q177220|Q947873|,,,,,,,,,,,,,,,1.0,
Q2722764|Q177220|Q947873|Q1086863|Q36180|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q183945|,,,,,,,,,,,,,,,5.0,
Q2722764|Q183945|Q10833314|,,,,,,,,,,,,,,,1.0,
Q2722764|Q183945|Q1930187|,,,,,,,,,,,,,,,1.0,
Q2722764|Q18533509|,,,,,,,,,,,,,,,1.0,
Q2722764|Q185351|Q82955|Q36180|,,,,,,,,,,,,,,,1.0,
Q2722764|Q188094|Q1622272|Q1086863|Q1930187|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1930187|,,,,,,,,,,,,,,12.0,35.0,
Q2722764|Q1930187|Q18921227|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1930187|Q201788|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1930187|Q33999|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1930187|Q36180|,,,,,,,,,,,,,,,2.0,
Q2722764|Q1930187|Q36180|Q8246794|,,,,,,,,,,,,,,1.0,,
Q2722764|Q1930187|Q37226|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1930187|Q82955|,,,,,,,,,,,,,,,2.0,
Q2722764|Q1930187|Q864503|Q37226|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1930187|Q947873|,,,,,,,,,,,,,,,2.0,
Q2722764|Q1930187|Q947873|Q270389|,,,,,,,,,,,,,,,1.0,
Q2722764|Q193391|,,,,,,,,,,,,,,,1.0,
Q2722764|Q1937431|,,,,,,,,,,,,,,,1.0,
Q2722764|Q20198542|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2059704|,,,,,,,,,,,,,,,1.0,
Q2722764|Q211346|,,,,,,,,,,,,,,,2.0,
Q2722764|Q212980|,,,,,,,,,,,,,,2.0,2.0,
Q2722764|Q212980|Q18533509|,,,,,,,,,,,,,,,1.0,
Q2722764|Q214917|Q36180|Q1086863|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2252262|Q639669|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2259532|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2405480|,,,,,,,,,,,,,,,6.0,
Q2722764|Q245068|,,,,,,,,,,,,,,,4.0,
Q2722764|Q2462658|,,,,,,,,,,,,,,1.0,,
Q2722764|Q2516866|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2526255|Q36834|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2548714|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2548714|Q1930187|,,,,,,,,,,,,,,,2.0,
Q2722764|Q270389|,,,,,,,,,,,,,,,1.0,
Q2722764|Q270389|Q1930187|,,,,,,,,,,,,,,2.0,,
Q2722764|Q28389|,,,,,,,,,,,,,,,1.0,
Q2722764|Q2986228|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q3089940|,,,,,,,,,,,,,,,1.0,
Q2722764|Q33231|,,,,,,,,,,,,,,1.0,2.0,
Q2722764|Q3387717|,,,,,,,,,,,,,,,1.0,
Q2722764|Q33999|,,,,,,,,,,,,,,3.0,11.0,
Q2722764|Q33999|Q193391|,,,,,,,,,,,,,,,1.0,
Q2722764|Q33999|Q2526255|,,,,,,,,,,,,,,,1.0,
Q2722764|Q3406651|,,,,,,,,,,,,,,,1.0,
Q2722764|Q36180|,,,,,,,,,,,,,,3.0,6.0,
Q2722764|Q36180|Q1086863|,,,,,,,,,,,,,,1.0,1.0,
Q2722764|Q36180|Q1086863|Q15214752|,,,,,,,,,,,,,,1.0,,
Q2722764|Q36180|Q177220|,,,,,,,,,,,,,,1.0,1.0,
Q2722764|Q36180|Q1930187|,,,,,,,,,,,,,,,2.0,
Q2722764|Q36180|Q1930187|Q483501|,,,,,,,,,,,,,,,1.0,
Q2722764|Q36180|Q1930187|Q6625963|,,,,,,,,,,,,,,,1.0,
Q2722764|Q36180|Q1930187|Q947873|,,,,,,,,,,,,,,1.0,,
Q2722764|Q36180|Q2405480|Q33999|,,,,,,,,,,,,,,,1.0,
Q2722764|Q36180|Q6625963|,,,,,,,,,,,,,,1.0,,
Q2722764|Q36180|Q82955|,,,,,,,,,,,,,,,1.0,
Q2722764|Q36834|,,,,,,,,,,,,,,,7.0,
Q2722764|Q36834|Q177220|Q33999|Q488205|,,,,,,,,,,,,,,,1.0,
Q2722764|Q37226|,,,,,,,,,,,,,,1.0,,
Q2722764|Q37226|Q639669|Q36834|,,,,,,,,,,,,,,,1.0,
Q2722764|Q40348|,,,,,,,,,,,,,,,14.0,
Q2722764|Q40348|Q37226|Q36180|Q82955|,,1.0,,,,,,,,,,,,,,
Q2722764|Q40348|Q482980|,,,,,,,,,,,,,,,1.0,
Q2722764|Q40348|Q82955|,,,,,,,,,,,,,,,1.0,
Q2722764|Q4182927|Q1930187|Q40348|Q1979607|Q43845|,,,,,,,,,,,,,,,1.0,
Q2722764|Q42603|,,,,,,,,,,,,,,,1.0,
Q2722764|Q42909|Q36180|,,,,,,,,,,,,,,,1.0,
Q2722764|Q460797|,,,,,,,,,,,,,,,1.0,
Q2722764|Q4610556|Q33999|,,,,,,,,,,,,,,1.0,,
Q2722764|Q482980|,,,,,,,,,,,,,,1.0,6.0,
Q2722764|Q482980|Q1086863|,,,,,,,,,,,,,,1.0,,
Q2722764|Q482980|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q482980|Q1930187|,,,,,,,,,,,,,,,2.0,
Q2722764|Q482980|Q82955|Q639669|,,,,,,,,,,,,,,,1.0,
Q2722764|Q488205|,,,,,,,,,,,,,,1.0,1.0,
Q2722764|Q488205|Q947873|Q177220|,,,,,,,,,,,,,,,1.0,
Q2722764|Q4964182|,,,,,,,,,,,,,,,1.0,
Q2722764|Q49757|Q214917|Q36180|Q1930187|,,,,,,,,,,,,,,,1.0,
Q2722764|Q49757|Q36180|,,,,,,,,,,,,,,,1.0,
Q2722764|Q49757|Q36180|Q1930187|Q39631|Q1028181|,,,,,,,,,,,,,,,1.0,
Q2722764|Q512314|,,,,,,,,,,,,,,1.0,,
Q2722764|Q578109|,,,,,,,,,,,,,,1.0,1.0,
Q2722764|Q578109|Q947873|,,,,,,,,,,,,,,,1.0,
Q2722764|Q639669|,,,,,,,,,,,,,,,3.0,
Q2722764|Q639669|Q1930187|,,,,,,,,,,,,,,1.0,,
Q2722764|Q639669|Q245068|,,,,,,,,,,,,,,,1.0,
Q2722764|Q6625963|,,,,,,,,,,,,,,,1.0,
Q2722764|Q753110|,,,,,,,,,,,,,,1.0,2.0,
Q2722764|Q753110|Q130857|,,,,,,,,,,,,,,,1.0,
Q2722764|Q8246794|Q33999|Q36180|,,,,,,,,,,,,,,,1.0,
Q2722764|Q82955|,,,,,,,,,,,,,,6.0,12.0,
Q2722764|Q82955|Q43845|,,,,,,,,,,,,,,,1.0,
Q2722764|Q855091|,,,,,,,,,,,,,,1.0,,
Q2722764|Q860918|,,,,,,,,,,,,,,,1.0,
Q2722764|Q864503|,,,,,,,,,,,,,,,1.0,
Q2722764|Q876864|,,,,,,,,,,,,,,1.0,,
Q2722764|Q947873|,,,,,,,,,,,,,,30.0,71.0,
Q2722764|Q947873|Q10730252|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q10730252|Q13590141|,,,,,,,,,,,,,,1.0,1.0,
Q2722764|Q947873|Q10842936|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q1086863|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q1086863|Q1930187|,,,,,,,,,,,,,,1.0,,
Q2722764|Q947873|Q1086863|Q1930187|Q36180|Q13590141|,,,,,,,,,,,,,,1.0,,
Q2722764|Q947873|Q1086863|Q1930187|Q3665646|Q36180|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q1155838|Q1930187|,,,,,,,,,,,,,,1.0,,
Q2722764|Q947873|Q130857|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q13590141|,,,,,,,,,,,,,,1.0,3.0,
Q2722764|Q947873|Q158852|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q1930187|,,,,,,,,,,,,,,1.0,4.0,
Q2722764|Q947873|Q1930187|Q13590141|,,,,,,,,,,,,,,,2.0,
Q2722764|Q947873|Q1930187|Q36180|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q2066131|Q13590141|Q15214752|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q245068|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q2548714|Q1086863|Q36180|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q33999|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q33999|Q36180|Q18814623|,,,,,,,,,,,,,,1.0,,
Q2722764|Q947873|Q33999|Q578109|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q36180|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q36180|Q1086863|Q1234713|Q1622272|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q36180|Q1086863|Q13590141|,,,,,,,,,,,,,,1.0,,
Q2722764|Q947873|Q36180|Q13590141|,,,,,,,,,,,,,,1.0,,
Q2722764|Q947873|Q37226|Q13590141|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q43845|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q482980|Q4964182|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q578109|Q1930187|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q639669|,,,,,,,,,,,,,,,1.0,
Q2722764|Q947873|Q639669|Q245068|Q33999|Q118865|,,,,,,,,,,,,,,,1.0,
Q2722764|Q978|,,,,,,,,,,,,,,,1.0,
Q2723352|,,,,,,,,,,,,,,,3.0,
Q2727213|,,,,,,,,,,,,,,,1.0,
Q2727289|,,,,,,,,,,,,,,2.0,1520.0,
Q2727289|Q11620676|,,,,,,,,,,,,,,,1.0,
Q2727289|Q13474373|,,,,,,,,,,,,,,,2.0,
Q2727289|Q33999|,,,,,,,,,,,,,,,1.0,
Q2727289|Q6665249|,,,,,,,,,,,,,,1.0,,
Q2727289|Q82955|,,,,,,,,,,,,,,,1.0,
Q2730732|,,,,,,,,,,,,,,68.0,282.0,
Q2730732|Q13474373|,,,,,,,,,,,,,,,1.0,
Q2730732|Q189290|,,,,,,,,,,,,,,,2.0,
Q2730732|Q2066131|,,,,,,,,,,,,,,,1.0,
Q2730732|Q33999|,,,,,,,,,,,,,,1.0,,
Q2730732|Q482980|,,,,,,,,,,,,,,,2.0,
Q2730732|Q846750|,,,,,,,,,,,,,,,1.0,
Q273108|,,,,,,,,,,,,,,3.0,702.0,
Q273108|Q11900058|,,,,,,,,,,,,,,,3.0,
Q273108|Q12097|,,,,,,,,,,,,,,,1.0,
Q273108|Q121998|,,,,,,,,,,,,,,,2.0,
Q273108|Q13424814|Q1402561|,,,,,,,,,,,,,,,1.0,
Q273108|Q16086036|,,,,,,,,,,,,,,,1.0,
Q273108|Q16533|Q82955|,,,,,,,,,,,,,,,1.0,
Q273108|Q189290|,,,,,,,,,,,,,,,2.0,
Q273108|Q1930187|,,,,,,,,,,,,,,,1.0,
Q273108|Q193391|,,,,,,,,,,,,,,,5.0,
Q273108|Q193391|Q189290|,,,,,,,,,,,,,,,1.0,
Q273108|Q193391|Q42973|,,,,,,,,,,,,,,,1.0,
Q273108|Q193391|Q82955|,,,,,,,,,,,,,,,1.0,
Q273108|Q215536|,,,,,,,,,,,,,,,1.0,
Q273108|Q215536|Q82955|,,,,,,,,,,,,,,,1.0,
Q273108|Q2304859|,,,,,,,,,,,,,,,2.0,
Q273108|Q271110|,,,,,,,,,,,,,,,1.0,
Q273108|Q36180|,,,,,,,,,,,,,,,6.0,
Q273108|Q36180|Q201788|,,,,,,,,,,,,,,,1.0,
Q273108|Q3656995|,,,,,,,,,,,,,,,1.0,
Q273108|Q39631|Q42603|,,,,,,,,,,,,,,,1.0,
Q273108|Q40403|,,,,,,,,,,,,,,,1.0,
Q273108|Q42603|,,,,,,,,,,,,,,,4.0,
Q273108|Q42603|Q2259532|,,,,,,,,,,,,,,,1.0,
Q273108|Q42973|Q131062|,,,,,,,,,,,,,,,1.0,
Q273108|Q47064|,,,,,,,,,,,,,,,8.0,
Q273108|Q482999|,,,,,,,,,,,,,,,1.0,
Q273108|Q49757|,,,,,,,,,,,,,,,1.0,
Q273108|Q7231714|,,,,,,,,,,,,,,,1.0,
Q273108|Q82955|,,,,,,,,,,,,,,,32.0,
Q273108|Q82955|Q42603|,,,,,,,,,,,,,,,1.0,
Q2732142|,,,,,,,,,,,,,,23.0,365.0,
Q2732142|Q1086863|,,,,,,,,,,,,,,,1.0,
Q2732142|Q12360779|,,,,,,,,,,,,,,1.0,17.0,
Q2732142|Q12360779|Q188094|,,,,,,,,,,,,,,,1.0,
Q2732142|Q1281618|,,,,,,,,,,,,,,,1.0,
Q2732142|Q13416803|,,,,,,,,,,,,,,,1.0,
Q2732142|Q1622272|,,,,,,,,,,,,,,,1.0,
Q2732142|Q170790|,,,,,,,,,,,,,,,3.0,
Q2732142|Q170790|Q82594|,,,,,,,,,,,,,,,1.0,
Q2732142|Q179985|,,,,,,,,,,,,,,,1.0,
Q2732142|Q183888|,,,,,,,,,,,,,,,1.0,
Q2732142|Q188094|Q1622272|,,,,,,,,,,,,,,,1.0,
Q2732142|Q188094|Q82955|Q2664701|Q1231865|,,,,,,,,,,,,,,,1.0,
Q2732142|Q201788|,,,,,,,,,,,,,,,3.0,
Q2732142|Q2251335|,,,,,,,,,,,,,,,1.0,
Q2732142|Q2306091|,,,,,,,,,,,,,,,6.0,
Q2732142|Q2306091|Q12360779|,,,,,,,,,,,,,,2.0,7.0,
Q2732142|Q2310145|,,,,,,,,,,,,,,,2.0,
Q2732142|Q2374149|,,,,,,,,,,,,,,,1.0,
Q2732142|Q3128486|Q82955|,,,,,,,,,,,,,,,1.0,
Q2732142|Q36180|,,,,,,,,,,,,,,,2.0,
Q2732142|Q37226|,,,,,,,,,,,,,,,1.0,
Q2732142|Q39631|,,,,,,,,,,,,,,,1.0,
Q2732142|Q4205432|,,,,,,,,,,,,,,1.0,,
Q2732142|Q483501|,,,,,,,,,,,,,,,1.0,
Q2732142|Q81096|,,,,,,,,,,,,,,,2.0,
Q2732142|Q82594|,,,,,,,,,,,,,,,1.0,
Q2732142|Q82955|,,,,,,,,,,,,,,,2.0,
Q2732142|Q860918|,,,,,,,,,,,,,,,1.0,
Q2732142|Q901402|,,,,,,,,,,,,,,,1.0,
Q273283|,,,,,,,,,,,,,,,1.0,
Q27349|,,,,,,,,,,,,,,41.0,332.0,
Q27349|Q1028181|,,,,,,,,,,,,,,,2.0,
Q27349|Q10429346|Q201788|,,,,,,,,,,,,,,,1.0,
Q27349|Q121594|,,,,,,,,,,,,,,,1.0,
Q27349|Q12455619|,,,,,,,,,,,,,,,1.0,
Q27349|Q131524|,,,,,,,,,,,,,,,1.0,
Q27349|Q1328323|,,,,,,,,,,,,,,,1.0,
Q27349|Q14089670|,,,,,,,,,,,,,,,2.0,
Q27349|Q14128148|,,,,,,,,,,,,,,,5.0,
Q27349|Q1607826|Q10429346|Q860918|,,,,,,,,,,,,,,,1.0,
Q27349|Q1622272|,,,,,,,,,,,,,,,3.0,
Q27349|Q1622272|Q61061|,,,,,,,,,,,,,,,1.0,
Q27349|Q17611899|,,,,,,,,,,,,,,,1.0,
Q27349|Q189290|,,,,,,,,,,,,,,,1.0,
Q27349|Q193391|Q82955|,,,,,,,,,,,,,,,1.0,
Q27349|Q201788|,,,,,,,,,,,,,,,1.0,
Q27349|Q214917|,,,,,,,,,,,,,,,1.0,
Q27349|Q219477|,,,,,,,,,,,,,,,1.0,
Q27349|Q2374149|,,,,,,,,,,,,,,,1.0,
Q27349|Q2576499|,,,,,,,,,,,,,,,1.0,
Q27349|Q2919046|,,,,,,,,,,,,,,,3.0,
Q27349|Q3665646|,,,,,,,,,,,,,,,2.0,
Q27349|Q36834|,,,,,,,,,,,,,,,2.0,
Q27349|Q378622|,,,,,,,,,,,,,,,1.0,
Q27349|Q39631|,,,,,,,,,,,,,,,3.0,
Q27349|Q39631|Q774306|,,,,,,,,,,,,,,,1.0,
Q27349|Q516463|,,,,,,,,,,,,,,,1.0,
Q27349|Q6500773|,,,,,,,,,,,,,,,1.0,
Q27349|Q753110|,,,,,,,,,,,,,,,2.0,
Q27349|Q82955|,,,,,,,,,,,,,,3.0,47.0,
Q27349|Q860918|,,,,,,,,,,,,,,,1.0,
Q27349|Q860918|Q36180|,,,,,,,,,,,,,,,1.0,
Q2735701|,,,,,,,,,,,,,,,4.0,
Q2735701|Q1234713|,,,,,,,,,,,,,,,1.0,
Q2735739|,,,,,,,,,,,,,,,1.0,
Q2735971|,,,,,,,,,,,,,,,1.0,
Q273613|,,,,,,,,,,,,,,1.0,1.0,
Q273623|,,,,,,,,,,,,,,,1.0,
Q273626|,,,,,,,,,,,,,,,2.0,
Q2736|,,,,,,,,,,,,,,,2.0,
Q2737671|,,,,,,,,,,,,,,,3.0,
Q2747152|,,,,,,,,,,,,,,,1.0,
Q2747456|,,,,,,,,,,,,,,,13.0,
Q2747456|Q15921002|,,,,,,,,,,,,,,,1.0,
Q2747456|Q16533|,,,,,,,,,,,,,,,1.0,
Q275102|,,,,,,,,,,,,,,,2.0,
Q27686|,,,,,,,,,,,,,,,2.0,
Q2775569|,,,,,,,,,,,,,,,17.0,
Q2775569|Q1147709|,,,,,,,,,,,,,,,1.0,
Q2775569|Q13561328|,,,,,,,,,,,,,,,1.0,
Q2775569|Q15627169|,,,,,,,,,,,,,,,2.0,
Q2775569|Q482980|Q18814623|,,,,,,,,,,,,,,,1.0,
Q2775569|Q82955|,,,,,,,,,,,,,,,1.0,
Q27887|,,,,,,,,,,,,,,,1.0,
Q278919|,,,,,,,,,,,,,,5.0,11.0,
Q278919|Q1114448|,,,,,,,,,,,,,,1.0,,
Q278919|Q131524|,,,,,,,,,,,,,,,1.0,
Q278919|Q36180|,,,,,,,,,,,,,,,1.0,
Q278919|Q43845|,,,,,,,,,,,,,,,1.0,
Q278919|Q892972|,,,,,,,,,,,,,,,1.0,
Q2790613|,,,,,,,,,,,,,,,1.0,
Q27911|Q177220|Q2865819|,,,,,,,,,,,,,,,1.0,
Q27914|,,,,,,,,,,,,,,,1.0,
Q27939|,,,,,,,,,,,,,,,1.0,
Q27968|,,,,,,,,,,,,,,1.0,,
Q279704|,,,,,,,,,,,,,,,7.0,
Q279704|Q3492027|,,,,,,,,,,,,,,1.0,138.0,
Q2798820|,,,,,,,,,,,,,,,2.0,
Q27997|Q121594|,,,,,,,,,,,,,,,1.0,
Q2800440|,,,,,,,,,,,,,,,1.0,
Q2800440|Q1234713|,,,,,,,,,,,,,,,1.0,
Q2800440|Q201788|Q1234713|,,,,,,,,,,,,,,,1.0,
Q2802208|,,,,,,,,,,,,,,,9.0,
Q2802208|Q1340643|,,,,,,,,,,,,,,,1.0,
Q2802208|Q474306|,,,,,,,,,,,,,,,1.0,
Q2815948|,2.0,,,,,,,,,,,,,24.0,184.0,
