EconomyScore WIGI,EconomyRank WIGI,Rank,Score SIGI,Rank SIGI,Score GDI,Rank GDI,Score GEI,Rank GEI,Score GGGI,Rank GGGI
Faroe Islands,0.0526315789474,165.0,,,,,,,,
Kuwait,0.0515463917526,166.0,,,0.987,22,62.0,90.0,0.6457,113.0
Madagascar,0.05,167.0,0.8998,34.0,0.917,99,70.0,59.0,0.7214,41.0
Burkina Faso,0.0481927710843,168.0,0.7181,72.0,0.924,97,48.0,125.0,0.65,110.0
Democratic Republic of the Congo,0.0480769230769,169.0,0.5724,87.0,,,,,,
Paraguay,0.0458100558659,170.0,0.942,26.0,0.966,54,73.0,43.0,0.689,81.0
Barbados,0.0448717948718,171.0,,,1.021,32,,,0.7289,33.0
Malawi,0.0444444444444,172.0,,,0.891,116,59.0,99.0,0.7281,34.0
Togo,0.0434782608696,173.0,0.814,58.0,0.803,136,40.0,141.0,,
Uruguay,0.0433355219961,174.0,,,1.015,25,74.0,37.0,0.6871,82.0
Chad,0.0405405405405,175.0,0.5335,92.0,0.762,144,25.0,151.0,0.5764,140.0
Fiji,0.039603960396,176.0,,,0.937,89,,,0.6286,122.0
Saudi Arabia,0.0385964912281,177.0,,,0.897,112,37.0,143.0,0.6059,130.0
Cyprus,0.0382352941176,178.0,,,0.940,85,68.0,68.0,0.6741,95.0
Samoa,0.0357142857143,179.0,,,0.948,81,,,,
Guinea-Bissau,0.030303030303,180.0,,,,,43.0,135.0,,
Sudan,0.0289855072464,181.0,0.445,95.0,,,40.0,141.0,,
Northern Ireland,0.0277777777778,182.0,,,,,,,,
Seychelles,0.0263157894737,183.0,,,,,,,,
United Arab Emirates,0.0243902439024,184.0,,,0.958,70,63.0,84.0,0.6436,115.0
Republic of the Congo,0.0243902439024,184.0,,,,,,,,
Tonga,0.0151515151515,186.0,,,0.966,54,,,,
Guinea,0.0131578947368,187.0,0.6794,78.0,0.785,141,,,0.6005,132.0
Qatar,0.0125,188.0,,,0.979,32,60.0,96.0,0.6403,116.0
Mauritania,0.0,190.0,0.6046,84.0,0.801,138,53.0,116.0,0.6029,131.0
German Empire,0.0,190.0,,,,,,,,
Niger,0.0,190.0,0.5585,89.0,0.714,147,26.0,150.0,,
Serbia and Montenegro,0.0,190.0,,,,,,,,
Lesotho,,,0.9124,33.0,0.973,43,72.0,51.0,0.7255,38.0
Laos,,,0.8555,49.0,,,,,0.7044,60.0
Timor-Leste,,,0.745,67.0,0.875,122,,,,
