,qid,dob,dod,name,text
2021943,Q1527337,1927.0,2010.0,Gisela Graupner,"Gisela Graupner (* 30. Juni 1927 in Leipzig; † 29. Juni 2010 in Berlin) war eine deutsche Schauspielerin.

 Leben 
Graupner wurde 1927 als Tochter eines Kaufmanns geboren. Bereits mit jungen Jahren na"
2022237,Q1531889,1928.0,,Hans Werner Kettenbach,"Hans Werner Kettenbach (* 20. April 1928 in Bendorf; Pseudonym: Christian Ohlig) ist ein deutscher Journalist und Schriftsteller.

 Leben 

Hans Werner Kettenbach wuchs in Köln auf. Nach dem Abitur be"
2022378,Q1534256,1927.0,2013.0,Goetz Bergander,"Goetz Bergander (Pseudonym: Gottfried Paulsen) (* 12. Februar 1927 in Dresden; † 16. Mai 2013 in Berlin) war ein deutscher Journalist.

 Leben 
Bergander wohnte mit seinen Eltern und zwei jüngeren Ges"
2022416,Q1535064,1929.0,2010.0,Reinhold Finkbeiner,"Reinhold Finkbeiner (* 6. August 1929 in Stuttgart; † 20. Januar 2010 in Alsfeld) war ein deutscher Komponist und Organist.
thumb|Reinhold Finkbeiner

 Leben 
Sein Großvater und Vater waren Architekte"
2022468,Q1536565,1928.0,,Ralph Sauer,"Ralph Sauer (* 30. Oktober 1928 in Hamburg) ist ein deutscher Pfarrer i.R. und emeritierter Professor für praktische Theologie/Religionspädagogik der katholischen Theologie.

Ralph Sauer absolvierte n"
2022593,Q1538866,1929.0,,Kurt Eisenblätter,"Kurt Eisenblätter (* 3. Februar 1929 in Berlin) ist ein deutscher gehörloser Pantomime und Schauspieler.

 Leben 
Mit mehr als sechzig Jahren Bühnenerfahrung gilt Kurt Eisenblätter als Legende des deu"
2022611,Q1539180,1927.0,,Gottfried Geiler,"Gottfried Geiler (* 13. Dezember 1927 in Leipzig) ist ein deutscher Pathologe.

 Leben 

Geiler besuchte die Thomasschule zu Leipzig. Nach dem Abitur studierte er Humanmedizin an der Universität Leipz"
2022614,Q1539192,1928.0,2014.0,Klaus Meyer (Diplomat),"Klaus Meyer (* 10. April 1928 in Köln; † 29. Januar 2014 in Bad Neuenahr) war ein deutscher Diplomat und Generaldirektor der Kommission der Europäischen Union.

 Leben 
Von 1948 bis 1955 studierte Kla"
2022638,Q1539352,1928.0,2010.0,Gottfried Maron,"Gottfried Maron (* 5. März 1928 in Osterwieck am Harz; † 27. Januar 2010 in Nürnberg) war ein deutscher evangelisch-lutherischer Theologe (Kirchenhistoriker) und Hochschullehrer.

Maron studierte von "
2022655,Q1539485,1930.0,1977.0,Gottfried Uwe Richter,"Gottfried Uwe Richter (* 24. September 1930 in Offenbach/Main; † 8. August 1977 in Berlin) war ein Zeichner und Grafiker.

 Leben 
Gottfried Uwe Richter war der Sohn des Malers Gottfried Richter (1904"
2022995,Q1545349,1929.0,1983.0,Johann Frank (Jurist),Johann Frank (* 29. März 1929 in Berlin; † 7. Juli 1983 in Dresden) war ein deutscher Kirchenverwaltungsjurist und Präsident des Landeskirchenamtes Hannover der Evangelisch-lutherischen Landeskirche H
2023018,Q1545944,1929.0,,Greta Klingsberg,"Greta Klingsberg geb. Hofmeister (* 11. September 1929 in Wien) ist eine israelische Sängerin und Übersetzerin. Sie wurde bekannt als weibliche Hauptrolle Aninka in der Kinderoper Brundibár, die im KZ"
2023214,Q1552984,1927.0,1984.0,Matthias Walden,"Matthias Walden (eigentlich Eugen Wilhelm Otto Baron von Saß; * 16. Mai 1927 in Dresden; † 17. November 1984 in Berlin) war ein konservativer deutscher Journalist.

 Leben 
Walden wurde als Eugen Wilh"
2023227,Q1553160,1927.0,2011.0,Gudrun Weyel,"Gudrun Weyel (* 19. Mai 1927 in Berlin; † 16. Mai 2011 in WörrstadtGudrun Weyel mit 83 Jahren gestorben) war eine deutsche Politikerin der SPD. 

Weyel legte 1944 ihr Abitur in Breslau ab. Nach dem En"
2023404,Q1555004,1929.0,1998.0,Gunther von Minnigerode,"Gunther von Minnigerode (* 6. Oktober 1929 in Osterode am Harz; † 31. Oktober 1998 in Göttingen) war ein deutscher Physiker.

Gunther von Minnigerode entstammte dem niedersächsischen Uradelsgeschlecht"
2023731,Q1557889,1927.0,,Helmut Rehder,"Helmut Rehder (* 7. Oktober 1927 in Hamburg) ist ein deutscher Philosoph und Botaniker mit Schwerpunkt auf Ökologie.

 Leben 
Helmut Rehder studierte nach dem Schulbesuch in Hamburg Biologie, Chemie u"
