,bls_occupation,wd_occupation,Unnamed: 0,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
129,Dentists,,162,167000,24.2,1.7,10.6,2.5,False,True,False,dentist,False,False
130,Heavy vehicle and mobile equipment service technicians and mechanics,,396,194000,1.0,5.4,2.0,17.3,False,True,False,mechanic,False,False
131,"Food servers, nonrestaurant",,231,217000,64.9,22.2,6.4,20.1,False,False,False,,False,False
132,Broadcast and sound engineering technicians and radio operators,,157,108000,8.4,4.1,1.6,12.6,False,False,False,,False,False
133,Physical therapist assistants and aides,,196,66000,66.4,14.7,3.6,5.6,False,False,False,,False,False
134,Secondary school teachers,,134,1127000,57.3,6.0,3.1,7.6,False,True,False,high school teacher,False,False
135,First-line supervisors of food preparation and serving workers,,224,552000,59.3,13.9,4.0,17.2,False,False,False,,False,False
136,"Metal workers and plastic workers, all other",,450,375000,19.5,14.4,6.6,26.0,False,False,False,,False,False
137,Social and community service managers,,27,315000,70.5,14.6,3.7,8.5,False,False,False,,False,False
138,"Engineering technicians, except drafters",,93,395000,16.3,10.8,5.0,12.3,False,False,False,,False,False
139,Customer service representatives,,296,1956000,67.8,16.2,4.2,18.0,False,True,False,customer service representative,False,False
140,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",,434,87000,18.9,8.4,3.3,22.9,False,False,False,,False,False
141,"Opticians, dispensing",,191,54000,59.6,8.2,3.8,4.1,False,True,False,optician,False,False
142,Pharmacists,,165,286000,53.7,6.8,18.5,5.1,False,True,False,pharmacist,False,False
143,First-line supervisors of gaming workers,,242,146000,43.0,5.2,9.2,10.1,False,False,False,,False,False
144,"Maintenance and repair workers, general",,403,442000,2.2,8.4,3.2,19.4,False,False,False,,False,False
145,Personal care aides,,258,1071000,84.7,21.8,7.9,21.2,False,False,False,,False,False
146,Speech-language pathologists,,175,146000,95.2,3.1,1.7,8.3,False,False,False,,False,False
147,Aerospace engineers,,76,119000,9.0,1.8,13.4,4.6,False,True,False,"aerospace engineer, engineer",False,True
148,"Weighers, measurers, checkers, and samplers, recordkeeping",,319,74000,49.1,19.9,2.8,21.9,False,False,False,,False,False
149,Artists and related workers,,142,212000,51.6,4.0,9.3,6.6,False,True,True,artist,False,False
150,Sheet metal workers,,361,123000,4.6,3.2,1.7,12.1,False,False,False,,False,False
151,"Food processing workers, all other",,429,117000,29.5,15.9,5.9,34.6,False,False,False,,False,False
152,"Sales and related workers, all other",,279,204000,47.9,7.7,4.7,10.3,False,False,False,,False,False
153,First-line supervisors of production and operating workers,,418,808000,19.5,9.4,5.8,13.9,False,False,False,,False,False
154,Operations research analysts,,71,130000,54.9,8.3,9.3,6.5,False,False,False,,False,False
155,"Inspectors, testers, sorters, samplers, and weighers",,483,689000,33.4,11.5,6.7,13.6,False,False,False,,False,False
156,Information security analysts,,60,52000,15.1,11.8,14.2,4.0,False,False,False,,False,False
157,General and operations managers,,1,1064000,29.1,6.2,4.7,9.3,False,False,False,,False,False
158,"News analysts, reporters and correspondents",,151,82000,45.7,9.2,6.1,5.9,False,True,False,journalist?,True,False
159,"First-line supervisors of protective service workers, all other",,208,93000,29.9,17.4,0.4,12.5,False,False,False,,False,False
160,Painting workers,,487,150000,15.1,5.7,4.3,34.9,False,False,False,,False,False
161,Purchasing managers,,13,218000,50.9,8.4,4.6,10.4,False,False,False,,False,False
162,"Sales representatives, wholesale and manufacturing",,273,1277000,27.0,3.7,3.7,9.4,False,False,False,,False,False
163,Electrical and electronics engineers,,82,335000,9.0,3.5,16.6,6.7,False,True,False,"electrical engineer,engineer",False,True
164,Sewing machine operators,,456,166000,74.2,5.6,11.4,43.8,False,False,False,,False,False
165,Aircraft mechanics and service technicians,,391,153000,1.6,7.5,5.4,14.3,False,True,False,mechanic,False,False
166,"Pressers, textile, garment, and related materials",,455,54000,70.6,17.0,3.5,47.9,False,False,False,,False,False
167,"Medical, dental, and ophthalmic laboratory technicians",,485,95000,50.7,1.6,8.9,15.9,False,False,False,,False,False
168,Stock clerks and order fillers,,318,1453000,35.5,16.7,4.5,18.1,False,False,False,,False,False
169,Computer and information systems managers,,7,605000,26.8,5.6,14.5,5.8,False,False,False,,False,False
170,"Hosts and hostesses, restaurant, lounge, and coffee shop",,234,260000,81.5,10.2,5.4,14.8,False,True,False,,False,False
171,Emergency medical technicians and paramedics,,187,172000,31.2,5.0,1.6,8.1,False,True,False,paramedic,False,False
172,"Physical scientists, all other",interdisciplinary scientist,104,154000,35.1,2.7,20.4,3.8,False,False,False,,False,False
173,Radio and telecommunications equipment installers and repairers,,383,158000,5.8,11.2,3.2,13.8,False,False,False,,False,False
174,"Mail clerks and mail machine operators, except postal service",,326,81000,41.2,18.1,10.6,10.1,False,False,False,,False,False
175,Janitors and building cleaners,,238,2205000,29.7,18.4,3.6,30.9,False,True,False,custodian,False,False
