,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q1002624,,,,,,,,,,,2.0,
Q1002631,,,,,,,,,,,9.0,
Q1002632,,,,,,,,,,,1.0,
Q1002636,,,,,,,,,,,3.0,
Q1002638,,,,,,,,,,,2.0,
Q1002641,,,,,,,,,,1.0,7.0,
Q1002645,,,,,,,,,,,1.0,
Q1002654,,,,,,,,,,,1.0,
Q1002658,,,,,,,,,,,1.0,
Q1002685,,,,,,,,,,,1.0,
Q1002688,,,,,,,,,,,2.0,
Q1002696,,,,,,,,,,,4.0,
Q10027,,,,,,,,,,5.0,6.0,
Q1002700,,,,,,,,,,,1.0,
Q1002760,,,,,,,,,,,1.0,
Q1002776,,,,,,,,,,,3.0,
Q1002786,,,,,,,,,,,1.0,
Q1002793,,,,,,,,,,,1.0,
Q1002817,,,,,,,,,,,2.0,
Q1002818,,,,,,,,,,,1.0,
Q1002823,,,,,,,,,,,1.0,
Q1002826,,,,,,,,,,,15.0,
Q1002835,,,,,,,,,,,1.0,
Q1002841,,,,,,,,,,,8.0,
Q1002856,,,,,,,,,,,1.0,
Q1002886,,,,,,,,,,,1.0,
Q1002896,,,,,,,,,,,2.0,
Q1002900,,,,,,,,,,1.0,2.0,
Q1002906,,,,,,,,,,,2.0,
Q1002926,,,,,,,,,,1.0,2.0,
Q1002934,,,,,,,,,,1.0,1.0,
Q1002981,,,,,,,,,,,2.0,
Q1003016,,,,,,,,,,,5.0,
Q1003060,,,,,,,,,,2.0,1.0,
Q1003074,,,,,,,,,,4.0,6.0,
Q1003082,,,,,,,,,,4.0,21.0,
Q1003109,,,,,,,,,,,1.0,
Q1003112,,,,,,,,,,1.0,8.0,
Q1003123,,,,,,,,,,,5.0,
Q1003134,,,,,,,,,,,1.0,
Q1003140,,,,,,,,,,,2.0,
Q1003142,,,,,,,,,,,1.0,
Q1003159,,,,,,,,,,,1.0,
Q1003178,,,,,,,,,,1.0,4.0,
Q1003179,,,,,,,,,,,1.0,
Q1003187,,,,,,,,,,,3.0,
Q1003196,,,,,,,,,,,4.0,
Q10032,,,,,,,,,,2.0,,
Q1003201,,,,,,,,,,1.0,1.0,
Q1003227,,,,,,,,,,,1.0,
Q1003235,,,,,,,,,,,1.0,
Q1003240,,,,,,,,,,2.0,1.0,
Q1003250,,,,,,,,,,,1.0,
Q1003252,,,,,,,,,,,1.0,
Q1003260,,,,,,,,,,,3.0,
Q1003264,,,,,,,,,,,1.0,
Q1003276,,,,,,,,,,,2.0,
Q1003279,,,,,,,,,,1.0,1.0,
Q1003283,,,,,,,,,,,1.0,
Q1003286,,,,,,,,,,2.0,3.0,
Q1003304,,,,,,,,,,,2.0,
Q1003328,,,,,,,,,,,1.0,
Q1003332,,,,,,,,,,,3.0,
Q1003333,,,,,,,,,,,1.0,
Q1003334,,,,,,,,,,,1.0,
Q1003349,,,,,,,,,,,2.0,
Q1003353,,,,,,,,,,,1.0,
Q1003356,,,,,,,,,,,1.0,
Q1003362,,,,,,,,,,,1.0,
Q1003379,,,,,,,,,,,1.0,
Q1003389,,,,,,,,,,,2.0,
Q1003392,,,,,,,,,,,1.0,
Q1003423,,,,,,,,,,,1.0,
Q1003429,,,,,,,,,,,3.0,
Q1003473,,,,,,,,,,1.0,,
Q1003496,,,,,,,,,,4.0,4.0,
Q10035,,,,,,,,,,1.0,2.0,
Q1003502,,,,,,,,,,2.0,6.0,
Q100354,,,,,,,,,,1.0,,
Q1003545,,,,,,,,,,,2.0,
Q1003559,,,,,,,,,,5.0,11.0,
Q1003576,,,,,,,,,,,2.0,
Q10036,,,,,,,,,,,2.0,
Q1003601,,,,,,,,,,,3.0,
Q1003612,,,,,,,,,,,2.0,
Q1003621,,,,,,,,,,,2.0,
Q1003630,,,,,,,,,,2.0,2.0,
Q1003636,,,,,,,,,,2.0,7.0,
Q1003637,,,,,,,,,,,1.0,
Q1003641,,,,,,,,,,,2.0,
Q1003645,,,,,,,,,,,2.0,
Q1003649,,,,,,,,,,,1.0,
Q100365,,,,,,,,,,,3.0,
Q1003651,,,,,,,,,,,1.0,
Q1003658,,,,,,,,,,,1.0,
Q1003662,,,,,,,,,,,1.0,
Q1003667,,,,,,,,,,1.0,,
Q1003678,,,,,,,,,,,1.0,
Q100368,,,,,,,,,,,3.0,
Q1003686,,,,,,,,,,2.0,1.0,
Q1003689,,,,,,,,,,,1.0,
Q1003693,,,,,,,,,,,6.0,
Q1003699,,,,,,,,,,,1.0,
Q1003702,,,,,,,,,,1.0,3.0,
Q1003709,,,,,,,,,,1.0,,
Q100371,,,,,,,,,,,1.0,
Q1003715,,,,,,,,,,,1.0,
Q1003724,,,,,,,,,,,1.0,
Q1003733,,,,,,,,,,,1.0,
Q1003757,,,,,,,,,,,7.0,
Q1003783,,,,,,,,,,,1.0,
Q1003826,,,,,,,,,,1.0,1.0,
Q1003830,,,,,,,,,,,1.0,
Q1003864,,,,,,,,,,,3.0,
Q1003869,,,,,,,,,,1.0,11.0,
