,nan,transgender male,female,male
Q1515727|Q243455|,,,,1.0
Q1516257|,,,,1.0
Q1516453|,,,,1.0
Q1516654|,,,,1.0
Q1519812|Q15982298|,,,1.0,
Q151993|,,,,1.0
Q152074|,,,,1.0
Q152384|,,,1.0,
Q1524573|,,,,1.0
Q1541064|,,,1.0,
Q1541373|,,,1.0,
Q1544924|Q164204|,,,,1.0
Q1546270|,,,,1.0
Q1559267|,,,,1.0
Q156035|,,,1.0,
Q156050|Q166231|,,,1.0,
Q156438|Q194025|,,,,1.0
Q156495|,,,,4.0
Q156495|Q216320|,,,,1.0
Q1569950|,,,1.0,1.0
Q15709513|,,,,1.0
Q157146|,,,2.0,4.0
Q15839135|,,,,1.0
Q158607|,,,,4.0
Q158607|Q191163|Q50030|,,,,1.0
Q15885248|,,,,12.0
Q15899470|Q856574|Q1368144|Q459381|,,,,1.0
Q15931767|Q44854|,,,,1.0
Q159810|,,,,1.0
Q159810|Q309|,,,,1.0
Q15995642|,,,,1.0
Q159964|,,,,1.0
Q15|,,,1.0,
Q16000061|Q49780|,,,,1.0
Q160039|,,,,2.0
Q16012028|,,,,1.0
Q160342|,,,,1.0
Q160398|Q910164|,,,,1.0
Q1607826|,,,,1.0
Q1608023|,,,,1.0
Q160845|,,,,1.0
Q161179|,,,,1.0
Q161439|,,,1.0,
Q161448|,,,,1.0
Q161764|,,,1.0,
Q1621662|Q162219|,,,,1.0
Q162314|,,,,1.0
Q162314|Q5054583|Q4932206|,,,,1.0
Q163082|,,,,1.0
Q1636734|Q18533485|,,,,1.0
Q16387|Q21198|Q5891|,,,,1.0
Q164761|Q211155|Q2402434|Q334734|Q230061|,,,,1.0
Q16525233|,,,,1.0
Q165950|,,,,2.0
Q1660187|,,,,1.0
Q166030|,,,,1.0
Q166234|,,,,1.0
Q166542|,,,,1.0
Q166542|Q471183|,,,,1.0
Q16656428|,,,,1.0
Q1667082|Q1762091|Q166542|Q181648|,,,,1.0
Q1669589|,,,,2.0
Q1669815|,,,,1.0
Q168091|,,,2.0,
Q1683099|,,,1.0,
Q168338|,,,,1.0
Q168796|,,,,1.0
Q168800|,,,,1.0
Q1689605|,1.0,,,
Q169390|,,,1.0,1.0
Q169470|,,,,1.0
Q169470|Q123637|,,,,1.0
Q170571|,,,22.0,230.0
Q170571|Q134307|Q214127|,,,1.0,
Q170571|Q134307|Q50030|,,,1.0,
Q170571|Q17279581|,,,2.0,1.0
Q17076284|Q1277348|Q520855|,,,1.0,
Q170790|,,,,3.0
Q1709010|,,,,1.0
Q170978|,,,,1.0
Q170978|Q11660|Q844240|,,,1.0,
Q17106098|,,,,1.0
Q171141|,,,,1.0
Q171184|,,,,1.0
Q171251|,,,,8.0
Q171401|,,,,1.0
Q17143415|,,,,1.0
Q17156912|,,,1.0,26.0
Q17176296|,,,,1.0
Q1721024|,,,,1.0
Q172145|,,,,1.0
Q17279581|,,,31.0,42.0
Q17279581|Q170571|,,,10.0,35.0
Q17279581|Q191163|,,,1.0,2.0
Q17279581|Q191163|Q170571|,,,,2.0
Q173113|,,,,2.0
Q173113|Q8134|,,,,1.0
Q173242|Q178659|Q191163|Q192110|Q170571|,,,1.0,
Q1734|,,,1.0,
Q1735738|,,,,1.0
Q173799|,,,1.0,2.0
Q174028|,,,,1.0
Q1741922|,,,,1.0
Q174416|,,,,2.0
Q174705|,,,,1.0
Q1747689|,,,,1.0
Q17479289|,,,,1.0
Q1750049|,,,,1.0
Q17516|Q4969124|Q11634|Q3697780|,,,,1.0
Q1753773|,,,,1.0
Q1762091|,,,,1.0
Q176483|,,,,4.0
Q176555|,,,,1.0
Q1768697|,,,,5.0
Q177005|Q128570|Q222046|,,,,1.0
Q177220|,,,1.0,2.0
Q177275|Q136851|,,,,1.0
Q177409|,,,,1.0
Q177777|Q601401|,,,,1.0
Q1779152|,,,,2.0
Q177923|Q15991265|,,,,1.0
Q1779521|,,,1.0,
Q1780384|,,,1.0,1.0
Q178540|Q999259|,,,,1.0
Q178598|Q10979515|,,,,1.0
Q178651|,,,1.0,
Q178659|,,,,1.0
Q17884|,,1.0,,1.0
Q1789149|,,,,2.0
Q179161|,,,,1.0
Q179226|,,,,1.0
Q179235|Q156495|,,,1.0,
Q1792400|Q13883136|,,,,1.0
Q179310|,,,,1.0
Q179488|Q146893|Q215948|Q4335010|,,,,1.0
Q179805|,,,,2.0
Q179805|Q9465|Q35986|,,,,1.0
Q179805|Q9471|Q35277|Q59115|,,,,1.0
Q1802210|,,,,1.0
Q180253|,,,1.0,
Q180536|,,,1.0,
Q180692|,,,1.0,
Q1806979|,,,,1.0
Q180969|,,,5.0,48.0
Q180969|Q12479|,,,,5.0
Q180969|Q188444|,,,,2.0
Q180969|Q188444|Q42989|,,,,1.0
Q180969|Q190549|,,,,1.0
Q180969|Q3968|,,,,3.0
Q180969|Q3968|Q1166618|,,,,1.0
Q180969|Q3968|Q12479|Q42989|,,,,1.0
Q180969|Q3968|Q7754|Q8087|Q12479|,,,,1.0
Q180969|Q42989|,,,,3.0
Q180969|Q727659|,,,,2.0
Q180969|Q7754|,,,,1.0
Q180969|Q7754|Q8087|Q42989|,,,,1.0
Q180969|Q8087|,,,,1.0
Q180969|Q874429|,,,,2.0
Q181014|,,,,1.0
Q181043|,,,1.0,
Q181043|Q1476215|,,,,1.0
Q181648|,,,,2.0
Q181790|Q5469977|Q605816|Q194302|,,,,1.0
Q1817983|,,,,1.0
Q1817983|Q783874|,,,,1.0
Q182468|,,,,1.0
Q182557|Q538722|Q1194674|,,,,1.0
Q18281|,,,1.0,
Q18334|,,,2.0,3.0
Q18336|,,,,1.0
Q183410|,,,1.0,
Q18346|Q18334|,,,,1.0
Q183605|,,,,1.0
Q183888|,,,,2.0
Q183904|,,,1.0,1.0
Q184274|Q5862903|Q7754|,,,,1.0
Q184296|,,,2.0,2.0
Q184485|,,,,1.0
Q184485|Q590870|,,,,1.0
Q184524|,,,,2.0
Q184524|Q1368144|,,,,1.0
Q184524|Q8091|,,,,1.0
Q1845|,,,,1.0
Q184890|Q4204600|,,,,1.0
Q185217|,,,,1.0
Q18524075|,,,,1.0
Q185264|,,,1.0,2.0
Q185278|,,,,1.0
Q185351|,,,,2.0
Q185973|,1.0,,1.0,1.0
Q186030|,,,1.0,1.0
Q186075|,,,,1.0
Q1860|,,,,1.0
Q186386|,,,,2.0
Q186579|,,,,1.0
Q186579|Q131539|Q1026962|Q52|Q4557697|,,,1.0,
Q18692672|,,,,1.0
Q18694550|,,,,2.0
Q18694550|Q1208658|,,,,1.0
Q187657|,,,,1.0
Q187791|,,,,1.0
Q187916|,,,,1.0
Q188391|,,,1.0,
Q188444|,,,,53.0
Q188444|Q12479|,,,,3.0
Q188444|Q12482|,,,,1.0
Q188444|Q1783542|,,,,1.0
Q188444|Q181207|Q1165883|,,,,1.0
Q188444|Q42989|,,,,6.0
Q188444|Q8087|,,,,6.0
Q188444|Q8087|Q42989|,,,,1.0
Q188444|Q874429|,,,,2.0
Q188444|Q874429|Q42989|,,,,1.0
Q188449|,,,,2.0
Q188462|,,,,1.0
Q188504|,,,1.0,
Q188504|Q482|,,,,1.0
Q188584|,,,,1.0
Q1887229|,,,,1.0
Q188867|,,,,1.0
Q1889|,,,,5.0
Q189049|Q22649|,,,,1.0
Q189177|,,,,1.0
Q189380|,,,,1.0
Q189459|,,,,1.0
Q189603|,,,,1.0
Q1898464|Q180046|,,,,1.0
Q1899943|,,,,1.0
Q190117|,,,,2.0
Q190117|Q2876213|,,,,1.0
Q190375|Q23404|,,,,1.0
Q190549|,,,1.0,16.0
Q190549|Q1166618|Q467606|,,,,1.0
Q190549|Q42989|,,,,1.0
Q190549|Q5862903|,,,,1.0
Q190549|Q595364|Q12482|Q1198874|Q5498822|Q44455|Q606855|,,,,1.0
Q190549|Q8087|,,,,1.0
Q190979|,,,1.0,1.0
Q190993|,,,1.0,3.0
Q191069|,,,1.0,
Q191159|,,,,1.0
Q191163|,,,23.0,561.0
Q191163|Q158607|,,,,2.0
Q191163|Q16875712|,,,,1.0
Q191163|Q170571|,,,2.0,16.0
Q191163|Q179232|,,,,1.0
Q191163|Q214127|,,,,1.0
Q191163|Q2302151|,,,,1.0
Q191529|,,,,1.0
Q191600|,,,,1.0
Q191633|,,,,1.0
Q1916396|,,,1.0,1.0
Q1920065|,,,2.0,
Q192296|,,,1.0,
Q192296|Q184296|,,,1.0,
Q192431|,,,3.0,7.0
Q1924856|,,,,1.0
Q192520|,,,,1.0
Q192658|Q375560|,,,,1.0
Q192694|,,,,1.0
Q192781|,,,,1.0
Q192781|Q201486|,,,,1.0
Q192890|,,,,1.0
