,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q180393,,,,,,,,,,,2.0,
Q180568,,,,,,,,,,,1.0,
Q180573,,,,,,,,,,,1.0,
Q18097,,,,,,,,,,1.0,14.0,
Q182647,,,,,,,,,,,1.0,
Q183,8.0,1.0,,,1.0,,,,,25176.0,153803.0,
Q184,12.0,,,,,,,,,289.0,1267.0,
Q1848,,,,,,,,,,1.0,2.0,
Q185301,,,,,,,,,,,3.0,
Q1860,,,,,,,,,,,1.0,
Q186096,7.0,,,,,,,,,,289.0,
Q186320,,,,,,,,,,,3.0,
Q186537,,,,,,,,,,,1.0,
Q18727,,,,,,,,,,,1.0,
Q188,,,,,,,,,,,7.0,
Q188161,,,,,,,,,,,4.0,
Q188586,,,,,,,,,,,4.0,
Q188712,5.0,,,,,,,,,40.0,72.0,
Q188736,,,,,,,,,,,2.0,
Q189,4.0,,,,,,,,,144.0,794.0,
Q18973,,,,,,,,,,,1.0,
Q190025,,,,,,,,,,,1.0,
Q190959,,,,,,,,,,,1.0,
Q191,55.0,,,,,,,,,397.0,1800.0,
Q191077,1.0,,,,,,,,,20.0,119.0,
Q191324,,,,,,,,,,,1.0,
Q192180,,,,,,,,,,,1.0,
Q193619,,,,,,,,,,1.0,1.0,
Q193714,,,,,,,,,,,11.0,
Q1991472,,,,,,,,,,,1.0,
Q199707,,,,,,,,,,,1.0,
Q20,391.0,,,,,,,,,5995.0,24557.0,
Q200262,,,,,,,,,,,1.0,
Q201190,,,,,,,,,,1.0,8.0,
Q20135,,,,,,,,,,,2.0,
Q202156,,,,,,,,,,,1.0,
Q203493,,,,,,,,,,1.0,9.0,
Q204481,,,,,,,,,,,1.0,
Q205047,,,,,,,,,,,1.0,
Q205662,21.0,,,,,,,,,104.0,170.0,
Q206411,,,,,,,,,,1.0,2.0,
Q207162,,,,,,,,,,,1.0,
Q207272,,,,,,,,,,1.0,4.0,
Q207521,,,,,,,,,,1.0,2.0,
Q208169,,,,,,,,,,,2.0,
Q208545,,,,,,,,,,,1.0,
Q209062,,,,,,,,,,,1.0,
Q209065,,,,,,,,,,,2.0,
Q209857,,,,,,,,,,1.0,8.0,
Q21,3.0,,,,,,,,,112.0,910.0,
Q210036,,,,,,,,,,,2.0,
Q210551,,,,,,,,,,,1.0,
Q211,4.0,,,,,,,,,210.0,1156.0,
Q211230,,,,,,,,,,,1.0,
Q211274,,,,,,,,,,1.0,1.0,
Q212,43.0,,,,,,,,,736.0,4025.0,
Q212056,,,,,,,,,,,5.0,
Q213,,,,,,,,,,627.0,4483.0,
Q213510,,,,,,,,,,,1.0,
Q214,50.0,,,,,,,,,258.0,1346.0,
Q215,2.0,,,,,,,,,139.0,708.0,
Q215530,,,,,,,,,,,1.0,
Q217,1.0,,,,,,,,,45.0,316.0,
Q217169,,,,,,,,,,1.0,3.0,
Q217196,,,,,,,,,,,1.0,
Q217230,,,,,,,,,,,1.0,
Q2177215,,,,,,,,,,,1.0,
Q218,1.0,,,,,,,,,462.0,2028.0,
Q218023,,,,,,,,,,,2.0,
Q2184,6.0,,,,,,,,,38.0,323.0,
Q219,5.0,,,,,,,,,250.0,1229.0,
Q219060,,,,,,,,,,1.0,2.0,
Q219311,,,,,,,,,,,1.0,
Q22,2.0,,,,,,,,,77.0,1056.0,
Q221,2.0,,,,,,,,,20.0,234.0,
Q221457,,,,,,,,,,,2.0,
Q222,,,,,,,,,,63.0,550.0,
Q2227570,,,,,,,,,,,1.0,
Q223,,,,,,,,,,,4.0,
Q223050,,,,,,,,,,,2.0,
Q2235,,,,,,,,,,,1.0,
Q224,4.0,,,,,,,,,201.0,1217.0,
Q225,5.0,,,,,,,,,43.0,500.0,
Q22502,,,,,,,,,,7.0,14.0,
Q2257531,,,,,,,,,,,1.0,
Q226317,,,,,,,,,,,1.0,
Q22633,,,,,,,,,,,1.0,
Q227,10.0,,,,,,,,,102.0,865.0,
Q2277,,,,,,,,,,1.0,21.0,
Q228,,,,,,,,,,10.0,124.0,
Q22890,,,,,,,,,,3.0,3.0,
Q229,4.0,,,,,,,,,21.0,375.0,
Q229411,,,,,,,,,,,2.0,
Q230,4.0,,,,,,,,,124.0,802.0,
Q2305208,,,,,,,,,,1.0,8.0,
Q230791,,,,,,,,,,,2.0,
Q231002,,,,,,,,,,,2.0,
Q231392,,,,,,,,,,,1.0,
Q232,23.0,,,,,,,,,152.0,820.0,
Q2320005,,,,,,,,,,,1.0,
Q233,,,,,,,,,,19.0,387.0,
Q23334,,,,,,,,,,2.0,22.0,
Q234,,,,,,,,,,,10.0,
Q23427,,,,,,,,,,,1.0,
Q235,,,,,,,,,,4.0,40.0,
Q236,,,,,,,,,,24.0,259.0,
Q23666,,,,,,,,,,11.0,28.0,
Q23681,27.0,,,,,,,,,28.0,150.0,
Q23693,,,,,,,,,,,3.0,
Q237,,,,,,,,,,,9.0,
Q23792,,,,,,,,,,5.0,38.0,
Q238,,,,,,,,,,22.0,260.0,
Q241,3.0,1.0,,,,,,,,527.0,2312.0,
Q241748,,,,,,,,,,,16.0,
Q242,,,,,,,,,,4.0,18.0,
Q2429397,,,,,,,,,,,1.0,
Q243610,,,,,,,,,,1.0,13.0,
Q244,,,,,,,,,,9.0,175.0,
Q244165,,,,,,,,,,,1.0,
Q245160,1.0,,,,,,,,,,1.0,
Q2453974,,,,,,,,,,,3.0,
Q2475921,,,,,,,,,,,1.0,
Q24879,,,,,,,,,,,5.0,
Q249934,,,,,,,,,,,1.0,
Q25,,,,,,,,,,23.0,340.0,
Q2505692,,,,,,,,,,,6.0,
Q252,1394.0,,,,,,,,,875.0,1725.0,
Q25228,,,,,,,,,,,1.0,
Q252580,,,,,,,,,,,1.0,
Q25344,,,,,,,,,,,1.0,
Q2577303,,,,,,,,,,,1.0,
Q258,343.0,,,,,,,,,939.0,5027.0,
Q26,,,,,,,,,,8.0,261.0,
Q2603851,,,,,,,,,,,1.0,
Q26167,,,,,,,,,,,1.0,
Q262,2.0,,,,,,,,,64.0,528.0,
Q2622868,,,,,,,,,,,1.0,
Q265,2.0,,,,,,,,,43.0,249.0,
Q2670092,,,,,,,,,,,1.0,
Q268970,,,,,,,,,,,1.0,
Q26988,,,,,,,,,,,8.0,
Q27,3.0,,,,,,,,,323.0,2398.0,
Q270,,,,,,,,,,,1.0,
Q27306,,,,,,,,,,1.0,44.0,
Q27394,,,,,,,,,,,2.0,
Q274536,,,,,,,,,,,1.0,
Q2754061,,,,,,,,,,,2.0,
Q2770,,,,,,,,,,,1.0,
Q28,16.0,,,,,,,,,557.0,3126.0,
Q28179,,,,,,,,,,1.0,3.0,
Q28233,,,,,,,,,,2.0,1.0,
Q282428,,,,,,,,,,,1.0,
Q28244,,,,,,,,,,,1.0,
Q282475,,,,,,,,,,,3.0,
Q2843,,,,,,,,,,,9.0,
Q28456,,,,,,,,,,,1.0,
Q28513,,,,,,,,,,11.0,220.0,
Q288,,,,,,,,,,,1.0,
Q2895,,,,,,,,,,8.0,73.0,
Q29,15.0,3.0,,,,,,,,1703.0,12242.0,
Q29520,,,,,,,,,,81.0,740.0,
Q295663,,,,,,,,,,,1.0,
Q2979717,,,,,,,,,,1.0,,
Q298,15.0,,,,,,,,,538.0,3945.0,
Q2980623,,,,,,,,,,,1.0,
Q2991382,,,,,,,,,,,1.0,
Q29999,,,,,,,,,,3.0,13.0,
Q30,141.0,32.0,2.0,,9.0,1.0,,,3.0,42134.0,133889.0,
Q30431,,,,,,,,,,,1.0,
Q3051808,,,,,,,,,,1.0,,
Q30623,,,,,,,,,,3.0,,
Q3063393,,,,,,,,,,1.0,,
Q309460,,,,,,,,,,,1.0,
Q30971,,,,,,,,,,1.0,,
Q31,400.0,,,,1.0,,,,,1569.0,10513.0,
Q310650,,,,,,,,,,,1.0,
Q3122657,,,,,,,,,,,1.0,
Q31747,,,,,,,,,,,1.0,
Q32,122.0,,,,,,,,,243.0,1798.0,
Q320925,,,,,,,,,,,2.0,
Q326029,,,,,,,,,,,3.0,
Q32768,,,,,,,,,,1.0,5.0,
Q3287203,,,,,,,,,,,1.0,
Q329439,,,,,,,,,,,1.0,
Q33,108.0,,,,,,,,,794.0,4254.0,
Q33296,,,,,,,,,,,1.0,
Q3337002,,,,,,,,,,,1.0,
