,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
sewiki,5.0,,,,,,,,,96.0,291.0,
sgwiki,,,,,,,,,,12.0,7.0,
shwiki,804.0,7.0,,,,,,,,3810.0,19935.0,
simplewiki,103.0,9.0,,,1.0,,,,2.0,4772.0,20719.0,
simplewikiquote,,,,,,,,,,45.0,327.0,
siwiki,2.0,1.0,,,,,,,,126.0,644.0,
skwiki,833.0,1.0,,,1.0,,,,,2914.0,19432.0,
skwikiquote,2.0,,,,,,,,,80.0,891.0,
skwikisource,,,,,,,,,,1.0,1.0,
slwiki,2787.0,2.0,,,,,,1.0,,2016.0,24624.0,
slwikiquote,1.0,,,,,,,,,62.0,918.0,
slwikisource,87.0,,,,,,,,,57.0,358.0,
smwiki,,,,,,,,,,8.0,34.0,
snwiki,,,,,,,,,,4.0,26.0,
sowiki,2.0,,,,,,,,,48.0,343.0,
sqwiki,1879.0,,,,,,,,,854.0,4863.0,
sqwikiquote,4.0,,,,,,,,,7.0,81.0,
srnwiki,1.0,,,,,,,,,24.0,85.0,
srwiki,880.0,2.0,,,,,,,,4385.0,20354.0,
srwikinews,,,,,,,,,,1.0,17.0,
srwikiquote,1.0,,,,,,,,,27.0,318.0,
srwikisource,4.0,,,,,,,,,4.0,117.0,
sswiki,1.0,,,,,,,,,7.0,32.0,
stqwiki,2.0,,,,,,,,,19.0,231.0,
stwiki,,,,,,,,,,2.0,12.0,
suwiki,40.0,,,,,,,,,113.0,534.0,
svwiki,294.0,13.0,,,5.0,,,,,33055.0,133904.0,
svwikinews,,,,,,,,,,3.0,12.0,
svwikiquote,,,,,,,,,,39.0,365.0,
svwikisource,3.0,,,,,,,,,59.0,438.0,
swwiki,68.0,,,,,,,,,516.0,3122.0,
szlwiki,,,,,,,,,,91.0,445.0,
tawiki,154.0,2.0,,,,,,,,1559.0,11545.0,
tawikiquote,,,,,,,,,,4.0,75.0,
tetwiki,,,,,,,,,,5.0,31.0,
tewiki,19.0,,,,,,,,,645.0,2109.0,
tewikiquote,,,,,,,,,,3.0,43.0,
tewikisource,,,,,,,,,,2.0,50.0,
tgwiki,11.0,,,,,,,,,227.0,907.0,
thwiki,911.0,4.0,,,1.0,,,,,2464.0,8687.0,1.0
thwikiquote,,,,,,,,,,2.0,40.0,
thwikisource,,,,,,,,,,,1.0,
tiwiki,,,,,,,,,,1.0,10.0,
tkwiki,1.0,,,,,,,,,23.0,247.0,
tlwiki,2267.0,5.0,,,1.0,,,,,3598.0,7010.0,
tnwiki,,,,,,,,,,8.0,40.0,
towiki,,,,,,,,,,9.0,54.0,
tpiwiki,,,,,,,,,,27.0,106.0,
trwiki,7322.0,5.0,,,1.0,,,,,6729.0,37111.0,
trwikinews,,,,,,,,,,2.0,5.0,
trwikiquote,5.0,,,,,,,,,127.0,931.0,
trwikisource,,,,,,,,,,1.0,24.0,
tswiki,,,,,,,,,,1.0,9.0,
ttwiki,13.0,,,,,,,,,140.0,1485.0,
tumwiki,,,,,,,,,,2.0,8.0,
twwiki,,,,,,,,,,7.0,40.0,
tyvwiki,,,,,,,,,,10.0,82.0,
tywiki,,,,,,,,,,8.0,36.0,
udmwiki,3.0,,,,,,,,,15.0,147.0,
ugwiki,7.0,1.0,,,,,,,,28.0,186.0,
ukwiki,396.0,3.0,,,1.0,,,,,11426.0,71636.0,
ukwikinews,,,,,,,,,,1.0,1.0,
ukwikiquote,1.0,,,,,,,,,98.0,971.0,
ukwikisource,,,,,,,,,,12.0,125.0,
urwiki,22.0,4.0,1.0,,,,,,1.0,2369.0,2796.0,
urwikiquote,,,,,,,,,,,14.0,
uzwiki,63.0,,,,,,,,,216.0,1780.0,
uzwikiquote,,,,,,,,,,,11.0,
vecwiki,3.0,,,,,,,,,129.0,848.0,
vecwikisource,55.0,,,,,,,,,1.0,75.0,
vepwiki,4.0,,,,,,,,,105.0,320.0,
vewiki,,,,,,,,,,2.0,2.0,
viwiki,4192.0,3.0,,,,,,,,3108.0,14445.0,
viwikiquote,1.0,,,,,,,,,14.0,72.0,
viwikisource,3.0,,,,,,,,,3.0,44.0,
vlswiki,4.0,,,,,,,,,135.0,725.0,
vowiki,31.0,,,,,,,,,70.0,587.0,
warwiki,3.0,,,,,,,,,307.0,2389.0,
wawiki,2.0,,,,,,,,,112.0,824.0,
wikidatawiki,,,,,,,,,,,1.0,
wowiki,1.0,,,,,,,,,9.0,69.0,
wowikiquote,,,,,,,,,,2.0,7.0,
wuuwiki,22.0,,,,,,,,,161.0,276.0,
xalwiki,,,,,,,,,,2.0,56.0,
xhwiki,1.0,,,,,,,,,6.0,33.0,
xmfwiki,2.0,,,,,,,,,66.0,543.0,
yiwiki,10.0,,,,,,1.0,,,151.0,1618.0,
yowiki,6.0,,,,,,,,,686.0,5945.0,
zawiki,3.0,,,,,,,,,4.0,94.0,
zeawiki,3.0,,,,,,,,,57.0,161.0,
zh_classicalwiki,149.0,,,,,,,,,64.0,825.0,
zh_min_nanwiki,70.0,1.0,,,,,,,,392.0,1328.0,
zh_min_nanwikiquote,,,,,,,,,,,6.0,
zh_yuewiki,316.0,3.0,,,,,,,,814.0,2401.0,
zhwiki,53953.0,13.0,,1.0,1.0,,,,,17345.0,54467.0,1.0
zhwikinews,,,,,,,,,,1.0,2.0,
zhwikiquote,16.0,,,,,,,,,70.0,567.0,
zhwikisource,39.0,,,,,,,,,16.0,219.0,
zuwiki,2.0,,,,,,,,,47.0,97.0,
