,nan,transgender female,intersex,fa'afafine,transgender male,female animal,male animal,woman,genderqueer,female,male,kathoey
Q22,,,,,,,,,,,1.0,
Q222175,,,,,,,,,,,1.0,
Q223,,,,,,,,,,1.0,,
Q224,,,,,,,,,,1.0,,
Q2258527,,,,,,,,,,1.0,,
Q22633,,,,,,,,,,,1.0,
Q22890,,,,,,,,,,,1.0,
Q2309935,,,,,,,,,,,6.0,
Q2325516,,,,,,,,,,2.0,1.0,
Q23444,,,,,,,,,,1.0,4.0,
Q235155,,1.0,,,,,,,,81.0,35.0,
Q2365041,,,,,,,,,,1.0,,
Q23666,,,,,,,,,,,1.0,
Q236807,,,,,,,,,,,1.0,
Q237534,,,,,,,,,,,3.0,
Q23792,,,,,,,,,,,1.0,
Q2401619,,,,,,,,,,,2.0,
Q2408653,1.0,,,,,,,,,,2.0,
Q241,,,,,,,,,,5.0,,
Q2414972,,,,,,,,,,,1.0,
Q241696,,,,,,,,,,11.0,22.0,
Q242485,,,,,,,,,,,2.0,
Q244028,,,,,,,,,,,1.0,
Q244157,,,,,,,,,,1.0,3.0,
Q245807,,,,,,,,,,,5.0,
Q2464565,,,,,,,,,,,1.0,
Q25,,,,,,,,,,2.0,1.0,
Q2505231,,,,,,,,,,,1.0,
Q2513044,,,,,,,,,,,4.0,
Q252,,,,,,,,,,,1.0,
Q2533493,,,,,,,,,,2.0,,
Q2533513,,,,,,,,,,,2.0,
Q253410,,,,,,,,,,,1.0,
Q254387,,,,,,,,,,,1.0,
Q2556103,1.0,,,,,,,,,6.0,41.0,
Q255872,,,,,,,,,,1.0,1.0,
Q2580491,,,,,,,,,,,1.0,
Q2587830,,,,,,,,,,3.0,,
Q2590074,,,,,,,,,,1.0,2.0,
Q2593852,,,,,,,,,,1.0,,
Q2606511,,,,,,,,,,2.0,5.0,
Q2614835,,,,,,,,,,,2.0,
Q2615416,,,,,,,,,,1.0,2.0,
Q262,,,,,,,,,,,1.0,
Q262457,,,,,,,,,,2.0,2.0,
