,nan,transgender female,intersex,transgender male,female,male
-424.0,,,,,,4.0
-423.0,,,,,,3.0
-422.0,,,,,,3.0
-420.0,,,,,,1.0
-418.0,,,,,,1.0
-416.0,,,,,,1.0
-415.0,,,,,,1.0
-414.0,,,,,,2.0
-413.0,,,,,,3.0
-412.0,,,,,,5.0
-411.0,,,,,,8.0
-410.0,,,,,,3.0
-409.0,,,,,,1.0
-408.0,,,,,,2.0
-407.0,,,,,,1.0
-406.0,,,,,,10.0
-405.0,,,,,,7.0
-404.0,,,,,,6.0
-403.0,,,,,,8.0
-402.0,,,,,,4.0
-401.0,,,,,,7.0
-400.0,,,,,1.0,5.0
-399.0,,,,,,5.0
-398.0,,,,,,1.0
-396.0,,,,,,4.0
-395.0,,,,,,3.0
-394.0,,,,,,1.0
-393.0,,,,,,6.0
-392.0,,,,,,1.0
-391.0,,,,,,3.0
-390.0,,,,,,3.0
-389.0,,,,,,3.0
-388.0,,,,,,1.0
-387.0,,,,,,1.0
-386.0,,,,,,1.0
-385.0,,,,,,3.0
-384.0,,,,,,2.0
-383.0,,,,,,1.0
-382.0,,,,,,1.0
-381.0,,,,,,1.0
-380.0,,,,,,6.0
-379.0,,,,,,1.0
-377.0,,,,,,1.0
-376.0,,,,,,1.0
-375.0,,,,,,1.0
-371.0,,,,,,2.0
-370.0,,,,,,7.0
-369.0,,,,,,3.0
-368.0,,,,,,1.0
-366.0,,,,,,2.0
-365.0,,,,,,4.0
-364.0,,,,,,1.0
-363.0,,,,,,1.0
-362.0,,,,,,4.0
-361.0,,,,,,1.0
-360.0,,,,,,3.0
-359.0,,,,,,1.0
-358.0,,,,,,6.0
-357.0,,,,,1.0,2.0
-356.0,,,,,,2.0
-355.0,,,,,,2.0
-354.0,,,,,,4.0
-353.0,,,,,2.0,7.0
-352.0,,,,,,1.0
-351.0,,,,,,1.0
-350.0,,,,,,2.0
-349.0,,,,,,2.0
-347.0,,,,,,4.0
-345.0,,,,,,2.0
-344.0,,,,,,1.0
-343.0,,,,,,3.0
-342.0,,,,,,1.0
-340.0,,,,,,4.0
-339.0,,,,,,1.0
-338.0,,,,,,6.0
-337.0,,,,,,3.0
-336.0,,,,,2.0,8.0
-334.0,,,,,,5.0
-333.0,,,,,,6.0
-332.0,,,,,,7.0
-331.0,,,,,1.0,7.0
-330.0,,,,,,13.0
-329.0,,,,,,4.0
-328.0,,,,,,4.0
-326.0,,,,,1.0,5.0
-325.0,,,,,,6.0
-324.0,,,,,,9.0
-323.0,,,,,4.0,5.0
-322.0,,,,,,6.0
-321.0,,,,,,6.0
-320.0,,,,,1.0,4.0
-319.0,,,,,,3.0
-318.0,,,,,,3.0
-317.0,,,,,1.0,4.0
-316.0,,,,,1.0,9.0
-315.0,,,,,,4.0
-314.0,,,,,,3.0
-313.0,,,,,,1.0
-312.0,,,,,,2.0
-311.0,,,,,,3.0
-310.0,,,,,1.0,2.0
-309.0,,,,,1.0,5.0
-308.0,,,,,1.0,2.0
-307.0,,,,,,1.0
-306.0,,,,,,2.0
-305.0,,,,,,1.0
-303.0,,,,,1.0,2.0
-302.0,,,,,,2.0
-301.0,,,,,,2.0
-300.0,,,,,1.0,1.0
-299.0,,,,,,1.0
-297.0,,,,,,1.0
-296.0,,,,,,2.0
-295.0,,,,,1.0,3.0
-294.0,,,,,,1.0
-291.0,,,,,,1.0
-290.0,,,,,,5.0
-289.0,,,,,,3.0
-287.0,,,,,1.0,2.0
-286.0,,,,,,1.0
-285.0,,,,,,3.0
-284.0,,,,,1.0,2.0
-283.0,,,,,,3.0
-281.0,,,,,,4.0
-280.0,,,,,,3.0
-279.0,,,,,,4.0
-278.0,,,,,,3.0
-277.0,,,,,,1.0
-276.0,,,,,,2.0
-275.0,,,,,,3.0
-274.0,,,,,,1.0
-273.0,,,,,,2.0
-272.0,,,,,,3.0
-271.0,,,,,,1.0
-270.0,,,,,,5.0
-269.0,,,,,,2.0
-268.0,,,,,1.0,1.0
-267.0,,,,,,2.0
-266.0,,,,,,1.0
-265.0,,,,,,4.0
-263.0,,,,,,2.0
-261.0,,,,,,1.0
-260.0,,,,,,6.0
-259.0,,,,,,2.0
-257.0,,,,,,1.0
-256.0,,,,,,2.0
-255.0,,,,,,1.0
-254.0,,,,,,1.0
-253.0,,,,,,1.0
-252.0,,,,,,1.0
-251.0,,,,,,1.0
-250.0,,,,,,6.0
-249.0,,,,,,1.0
-247.0,,,,,,2.0
-246.0,,,,,1.0,4.0
-245.0,,,,,,4.0
-244.0,,,,,,1.0
-243.0,,,,,,2.0
-242.0,,,,,,1.0
-241.0,,,,,2.0,2.0
-240.0,,,,,,4.0
-239.0,,,,,,2.0
-238.0,,,,,,1.0
-236.0,,,,,,1.0
-235.0,,,,,,2.0
-232.0,,,,,,3.0
-230.0,,,,,,5.0
-229.0,,,,,,1.0
-228.0,,,,,,5.0
-227.0,,,,,,3.0
-225.0,,,,,,4.0
-223.0,,,,,,2.0
-222.0,,,,,,2.0
-221.0,,,,,1.0,5.0
-220.0,,,,,,5.0
-219.0,,,,,,2.0
-217.0,,,,,,2.0
-216.0,,,,,,8.0
-215.0,,,,,,6.0
-214.0,,,,,,3.0
-213.0,,,,,,5.0
-212.0,,,,,,4.0
-211.0,,,,,,4.0
-210.0,,,,,,2.0
-209.0,,,,,,2.0
-208.0,,,,,,7.0
-207.0,,,,,,4.0
-206.0,,,,,,4.0
-205.0,,,,,,6.0
-204.0,,,,,1.0,7.0
-203.0,,,,,,2.0
-202.0,,,,,1.0,7.0
-201.0,,,,,,3.0
-200.0,,,,,,4.0
-199.0,,,,,,1.0
-198.0,,,,,,1.0
-197.0,,,,,,1.0
-196.0,,,,,,5.0
-195.0,,,,,,3.0
-194.0,,,,,1.0,3.0
-193.0,,,,,,2.0
-192.0,,,,,,1.0
-191.0,,,,,,1.0
-190.0,,,,,,4.0
-189.0,,,,,,2.0
-188.0,,,,,,3.0
-187.0,,,,,1.0,1.0
-186.0,,,,,,1.0
-184.0,,,,,,3.0
-183.0,,,,,,5.0
-182.0,,,,,,1.0
-181.0,,,,,,1.0
-180.0,,,,,1.0,9.0
-179.0,,,,,,3.0
-178.0,,,,,,2.0
-177.0,,,,,,3.0
-176.0,,,,,1.0,3.0
-175.0,,,,,,3.0
-174.0,,,,,,7.0
-172.0,,,,,,1.0
-171.0,,,,,,3.0
-170.0,,,,,,4.0
-169.0,,,,,,4.0
-168.0,,,,,,1.0
-167.0,,,,,,2.0
-166.0,,,,,,2.0
-164.0,,,,,,4.0
-163.0,,,,,1.0,1.0
-162.0,,,,,,4.0
-161.0,,,,,,4.0
-160.0,,,,,,4.0
-159.0,,,,,,4.0
-158.0,,,,,,1.0
-157.0,,,,,,2.0
-155.0,,,,,1.0,1.0
-154.0,,,,,,3.0
-152.0,,,,,,5.0
-151.0,,,,,,1.0
-150.0,,,,,,3.0
-149.0,,,,,,2.0
-148.0,,,,,,3.0
-146.0,,,,,,1.0
-145.0,,,,,,3.0
-144.0,,,,,,2.0
-143.0,,,,,,1.0
-141.0,,,,,,4.0
-138.0,,,,,,5.0
-137.0,,,,,,2.0
-135.0,,,,,1.0,1.0
-133.0,,,,,,2.0
-132.0,,,,,,2.0
-131.0,,,,,,1.0
-130.0,,,,,,6.0
-129.0,,,,,,6.0
-127.0,,,,,,2.0
-126.0,,,,,1.0,2.0
-125.0,,,,,,3.0
-124.0,,,,,,4.0
-123.0,,,,,,3.0
-122.0,,,,,,1.0
-121.0,,,,,1.0,2.0
-120.0,,,,,,3.0
-119.0,,,,,,2.0
-118.0,,,,,,2.0
-117.0,,,,,,3.0
-116.0,,,,,1.0,1.0
-115.0,,,,,,3.0
-114.0,,,,,1.0,1.0
-113.0,,,,,,2.0
-112.0,,,,,1.0,4.0
-111.0,,,,,1.0,3.0
-110.0,,,,,2.0,2.0
-109.0,,,,,,4.0
-108.0,,,,,,2.0
-107.0,,,,,,2.0
-106.0,,,,,,1.0
-105.0,,,,,,1.0
-104.0,,,,,1.0,6.0
-103.0,,,,,,3.0
-102.0,,,,,,1.0
-101.0,,,,,1.0,5.0
-100.0,,,,,,7.0
-98.0,,,,,,1.0
-97.0,,,,,,1.0
-96.0,,,,,,2.0
-95.0,,,,,,3.0
-94.0,,,,,,1.0
-92.0,,,,,,1.0
-91.0,,,,,1.0,4.0
-90.0,,,,,,7.0
-89.0,,,,,,8.0
-88.0,,,,,,8.0
