qid,en_label,aggregate_group
http://wikidata.org/wiki/Q170826,Irish people,
http://wikidata.org/wiki/Q171336,Slovaks,
http://wikidata.org/wiki/Q172717,Avar people,
http://wikidata.org/wiki/Q173292,Capri,
http://wikidata.org/wiki/Q173302,Estonians,
http://wikidata.org/wiki/Q173371,Bantu people,
http://wikidata.org/wiki/Q173491,Tamil people,
http://wikidata.org/wiki/Q174306,Republic of Genoa,
http://wikidata.org/wiki/Q1752440,Israeli Jews,
http://wikidata.org/wiki/Q1760759,Saramaka,
http://wikidata.org/wiki/Q178630,Portuguese people,
http://wikidata.org/wiki/Q1790886,Cuban American,
http://wikidata.org/wiki/Q179248,Albanians,
http://wikidata.org/wiki/Q180688,Bedouin,
http://wikidata.org/wiki/Q1815623,Sri Lankan Tamil people,
http://wikidata.org/wiki/Q181634,Scottish people,
http://wikidata.org/wiki/Q1820260,Pintupi,
http://wikidata.org/wiki/Q183,Germany,
http://wikidata.org/wiki/Q183573,Hui people,
http://wikidata.org/wiki/Q1849258,Albanian American,
http://wikidata.org/wiki/Q185461,Arameans,
http://wikidata.org/wiki/Q186192,Lithuanian people,
http://wikidata.org/wiki/Q187985,Tibetan people,
http://wikidata.org/wiki/Q188353,Welsh people,
http://wikidata.org/wiki/Q1886046,Lumbee,
http://wikidata.org/wiki/Q188779,Norwegians,
http://wikidata.org/wiki/Q1891793,Moroccan people,
http://wikidata.org/wiki/Q18973,Georgian people,
http://wikidata.org/wiki/Q189975,Inuit,
http://wikidata.org/wiki/Q190168,Yoruba people,
http://wikidata.org/wiki/Q190209,Kalmyk people,
http://wikidata.org/wiki/Q1905026,Madi people,
http://wikidata.org/wiki/Q191,Estonia,
http://wikidata.org/wiki/Q19109,Montenegrins,
http://wikidata.org/wiki/Q191356,Icelanders,
http://wikidata.org/wiki/Q191923,Mulatto,
http://wikidata.org/wiki/Q193092,Tutsi,
http://wikidata.org/wiki/Q1945786,Chinese Indonesians,
http://wikidata.org/wiki/Q1956640,Anishinaabe,
http://wikidata.org/wiki/Q196194,Romani,
http://wikidata.org/wiki/Q1965974,Demographics of the United States,
http://wikidata.org/wiki/Q1974818,Tewa people,
