qid,en_label,aggregate_group
http://wikidata.org/wiki/Q165040,Duchy of Parma,
http://wikidata.org/wiki/Q165154,Kingdom of Sardinia,
http://wikidata.org/wiki/Q165192,Swedes,
http://wikidata.org/wiki/Q16635,Guam,
http://wikidata.org/wiki/Q16641,American Samoa,
http://wikidata.org/wiki/Q16671638,Q16671638,
http://wikidata.org/wiki/Q1672477,Iranian peoples,
http://wikidata.org/wiki/Q167420,Croats,
http://wikidata.org/wiki/Q168651,Landgraviate of Hesse-Kassel,
http://wikidata.org/wiki/Q168811,Kazakh Soviet Socialist Republic,
http://wikidata.org/wiki/Q16957,East Germany,
http://wikidata.org/wiki/Q17,Japan,
http://wikidata.org/wiki/Q170072,Dutch Republic,
http://wikidata.org/wiki/Q17012,Guadeloupe,
http://wikidata.org/wiki/Q170174,Papal States,
http://wikidata.org/wiki/Q170468,United Arab Republic,
http://wikidata.org/wiki/Q17054,Martinique,
http://wikidata.org/wiki/Q170770,Grand Duchy of Moscow,
http://wikidata.org/wiki/Q171150,Kingdom of Hungary,
http://wikidata.org/wiki/Q17167,Roman Republic,
http://wikidata.org/wiki/Q171740,Caliphate of Córdoba,
http://wikidata.org/wiki/Q1718221,Non-citizens,
http://wikidata.org/wiki/Q172107,Polish–Lithuanian Commonwealth,
http://wikidata.org/wiki/Q1723904,Kaw people,
http://wikidata.org/wiki/Q17252,Tibet,
http://wikidata.org/wiki/Q172579,Kingdom of Italy,
http://wikidata.org/wiki/Q172640,North Vietnam,
http://wikidata.org/wiki/Q17278379,Q17278379,
http://wikidata.org/wiki/Q173065,Kingdom of Naples,
http://wikidata.org/wiki/Q173302,Estonians,
http://wikidata.org/wiki/Q173761,Lithuanian Soviet Socialist Republic,
http://wikidata.org/wiki/Q174193,United Kingdom of Great Britain and Ireland,
http://wikidata.org/wiki/Q174306,Republic of Genoa,
http://wikidata.org/wiki/Q1747689,Ancient Rome,
http://wikidata.org/wiki/Q1778994,Kuban People's Republic,
http://wikidata.org/wiki/Q1794,Frankfurt,
http://wikidata.org/wiki/Q179876,Kingdom of England,
http://wikidata.org/wiki/Q180114,Ayyubid dynasty,
http://wikidata.org/wiki/Q1803779,Icelandic cattle,
http://wikidata.org/wiki/Q180393,Kingdom of the Two Sicilies,
http://wikidata.org/wiki/Q180568,New Kingdom,
http://wikidata.org/wiki/Q180573,South Vietnam,
http://wikidata.org/wiki/Q18097,Korea,
http://wikidata.org/wiki/Q182647,Khwarezm,
http://wikidata.org/wiki/Q183,Germany,
http://wikidata.org/wiki/Q184,Belarus,
http://wikidata.org/wiki/Q1848,San Marino,
http://wikidata.org/wiki/Q185301,History of Egypt,
http://wikidata.org/wiki/Q1860,English,
http://wikidata.org/wiki/Q186096,Tsardom of Russia,
http://wikidata.org/wiki/Q186320,Grand Duchy of Baden,
http://wikidata.org/wiki/Q186537,Khanate of Kazan,
http://wikidata.org/wiki/Q18727,Cyclone Catarina,
http://wikidata.org/wiki/Q188,German,
http://wikidata.org/wiki/Q188161,Dutch East Indies,
http://wikidata.org/wiki/Q188586,Kingdom of Sicily,
http://wikidata.org/wiki/Q188712,Empire of Japan,
http://wikidata.org/wiki/Q188736,Bosnia,
http://wikidata.org/wiki/Q189,Iceland,
