,nan,transgender female,intersex,fa'afafine,transgender male,male animal,woman,genderqueer,female,male,kathoey
-134.0,,,,,,,,,,2.0,
-133.0,,,,,,,,,,1.0,
-132.0,,,,,,,,,,1.0,
-130.0,,,,,,,,,,7.0,
-129.0,,,,,,,,,,1.0,
-128.0,,,,,,,,,,2.0,
-127.0,,,,,,,,,,1.0,
-126.0,,,,,,,,,,1.0,
-125.0,,,,,,,,,,1.0,
-124.0,,,,,,,,,,3.0,
-123.0,,,,,,,,,,1.0,
-121.0,,,,,,,,,,2.0,
-120.0,,,,,,,,,2.0,5.0,
-117.0,,,,,,,,,,2.0,
-116.0,,,,,,,,,,2.0,
-115.0,,,,,,,,,1.0,3.0,
-114.0,,,,,,,,,,2.0,
-113.0,,,,,,,,,,1.0,
-110.0,,,,,,,,,,4.0,
-109.0,,,,,,,,,1.0,3.0,
-108.0,,,,,,,,,,1.0,
-106.0,,,,,,,,,,6.0,
-105.0,,,,,,,,,,2.0,
-104.0,,,,,,,,,2.0,,
-103.0,,,,,,,,,,2.0,
-102.0,,,,,,,,,,2.0,
-101.0,,,,,,,,,1.0,1.0,
-100.0,,,,,,,,,2.0,10.0,
-99.0,,,,,,,,,,1.0,
-98.0,,,,,,,,,1.0,3.0,
-97.0,,,,,,,,,,2.0,
-96.0,,,,,,,,,1.0,,
-95.0,,,,,,,,,2.0,3.0,
-94.0,,,,,,,,,1.0,2.0,
-93.0,,,,,,,,,,1.0,
-92.0,,,,,,,,,,2.0,
-91.0,,,,,,,,,,2.0,
-90.0,,,,,,,,,1.0,5.0,
-89.0,,,,,,,,,1.0,1.0,
-88.0,,,,,,,,,,1.0,
-87.0,,,,,,,,,,2.0,
-86.0,,,,,,,,,,3.0,
-85.0,,,,,,,,,1.0,5.0,
-84.0,,,,,,,,,1.0,2.0,
-83.0,,,,,,,,,,1.0,
-82.0,,,,,,,,,,4.0,
-81.0,,,,,,,,,,2.0,
-80.0,,,,,,,,,1.0,7.0,
-79.0,,,,,,,,,,3.0,
-78.0,,,,,,,,,,3.0,
-77.0,,,,,,,,,2.0,2.0,
-76.0,,,,,,,,,1.0,2.0,
-75.0,,,,,,,,,,3.0,
-74.0,,,,,,,,,,2.0,
-73.0,,,,,,,,,1.0,3.0,
-72.0,,,,,,,,,,1.0,
-71.0,,,,,,,,,1.0,,
-70.0,,,,,,,,,2.0,4.0,
-69.0,,,,,,,,,1.0,3.0,
-68.0,,,,,,,,,2.0,1.0,
-67.0,,,,,,,,,1.0,1.0,
-65.0,,,,,,,,,,1.0,
-64.0,,,,,,,,,,5.0,
-63.0,,,,,,,,,1.0,5.0,
-62.0,,,,,,,,,,1.0,
-61.0,,,,,,,,,,1.0,
-60.0,,,,,,,,,,5.0,
-59.0,,,,,,,,,,2.0,
-58.0,,,,,,,,,1.0,1.0,
-56.0,,,,,,,,,,1.0,
-55.0,,,,,,,,,,3.0,
-54.0,,,,,,,,,1.0,3.0,
-53.0,,,,,,,,,,2.0,
-52.0,,,,,,,,,,4.0,
-51.0,,,,,,,,,1.0,1.0,
-50.0,,,,,,,,,2.0,3.0,
-49.0,,,,,,,,,,1.0,
-48.0,,,,,,,,,1.0,,
-47.0,,,,,,,,,,3.0,
-46.0,,,,,,,,,,3.0,
-45.0,,,,,,,,,,3.0,
-44.0,,,,,,,,,,1.0,
-43.0,,,,,,,,,1.0,5.0,
-42.0,,,,,,,,,,2.0,
-41.0,,,,,,,,,1.0,,
-40.0,,,,,,,,,2.0,4.0,
-39.0,,,,,,,,,2.0,,
-38.0,,,,,,,,,,4.0,
-36.0,,,,,,,,,2.0,3.0,
-35.0,,,,,,,,,1.0,7.0,
-34.0,,,,,,,,,,1.0,
-32.0,,,,,,,,,1.0,,
-31.0,,,,,,,,,,1.0,
-30.0,,,,,,,,,,2.0,
-29.0,,,,,,,,,,1.0,
-27.0,,,,,,,,,1.0,3.0,
-25.0,,,,,,,,,,2.0,
-24.0,,,,,,,,,1.0,1.0,
-23.0,,,,,,,,,,2.0,
-21.0,,,,,,,,,,1.0,
-20.0,,,,,,,,,1.0,4.0,
-19.0,,,,,,,,,1.0,1.0,
-17.0,,,,,,,,,,3.0,
-15.0,,,,,,,,,,4.0,
-14.0,,,,,,,,,2.0,2.0,
-13.0,,,,,,,,,1.0,1.0,
-12.0,,,,,,,,,,4.0,
-10.0,,,,,,,,,1.0,3.0,
-9.0,,,,,,,,,,4.0,
-8.0,,,,,,,,,2.0,2.0,
-6.0,,,,,,,,,,2.0,
-5.0,,,,,,,,,,2.0,
-4.0,,,,,,,,,,3.0,
-2.0,,,,,,,,,,2.0,
-1.0,,,,,,,,,,2.0,
0.0,4.0,,,,,,,,20.0,15.0,
1.0,,,,,,,,,1.0,2.0,
2.0,,,,,,,,,,1.0,
3.0,,,,,,,,,1.0,1.0,
4.0,,,,,,,,,,3.0,
5.0,,,,,,,,,2.0,4.0,
6.0,,,,,,,,,,3.0,
7.0,,,,,,,,,1.0,1.0,
8.0,,,,,,,,,1.0,,
9.0,1.0,,,,,,,,1.0,1.0,
10.0,,,,,,,,,1.0,4.0,
11.0,,,,,,,,,,1.0,
12.0,,,,,,,,,,5.0,
14.0,,,,,,,,,1.0,3.0,
15.0,,,,,,,,,2.0,5.0,
17.0,,,,,,,,,2.0,2.0,
18.0,,,,,,,,,2.0,,
19.0,,,,,,,,,,2.0,
20.0,,,,,,,,,2.0,,
21.0,,,,,,,,,1.0,,
22.0,,,,,,,,,,2.0,
23.0,,,,,,,,,,3.0,
25.0,,,,,,,,,,4.0,
26.0,,,,,,,,,,1.0,
27.0,,,,,,,,,,4.0,
28.0,,,,,,,,,1.0,3.0,
29.0,,,,,,,,,,1.0,
30.0,,,,,,,,,2.0,3.0,
32.0,,,,,,,,,,4.0,
33.0,,,,,,,,,1.0,1.0,
34.0,,,,,,,,,,1.0,
35.0,,,,,,,,,1.0,4.0,
36.0,,,,,,,,,,2.0,
37.0,,,,,,,,,,4.0,
38.0,,,,,,,,,2.0,1.0,
39.0,,,,,,,,,1.0,3.0,
40.0,,,,,,,,,2.0,9.0,
41.0,,,,,,,,,,2.0,
42.0,,,,,,,,,,1.0,
45.0,,,,,,,,,1.0,,
46.0,,,,,,,,,,1.0,
48.0,,,,,,,,,1.0,,
50.0,,,,,,,,,,2.0,
51.0,,,,,,,,,,1.0,
53.0,,,,,,,,,,1.0,
55.0,,,,,,,,,,1.0,
56.0,,,,,,,,,,1.0,
57.0,,,,,,,,,,1.0,
58.0,,,,,,,,,1.0,1.0,
60.0,,,,,,,,,,1.0,
61.0,,,,,,,,,,1.0,
62.0,,,,,,,,,1.0,1.0,
63.0,,,,,,,,,1.0,,
64.0,,,,,,,,,1.0,,
65.0,,,,,,,,,1.0,,
67.0,,,,,,,,,,1.0,
68.0,,,,,,,,,1.0,,
69.0,,,,,,,,,,2.0,
70.0,,,,,,,,,1.0,4.0,
71.0,,,,,,,,,,1.0,
73.0,,,,,,,,,1.0,1.0,
76.0,,,,,,,,,,1.0,
78.0,,,,,,,,,,2.0,
79.0,,,,,,,,,,2.0,
80.0,,,,,,,,,,1.0,
81.0,,,,,,,,,1.0,,
83.0,,,,,,,,,,1.0,
85.0,,,,,,,,,,1.0,
86.0,,,,,,,,,1.0,1.0,
89.0,,,,,,,,,,2.0,
90.0,,,,,,,,,,1.0,
92.0,1.0,,,,,,,,,,
94.0,,,,,,,,,,1.0,
95.0,,,,,,,,,,1.0,
96.0,,,,,,,,,,1.0,
98.0,,,,,,,,,1.0,1.0,
100.0,,,,,,,,,1.0,4.0,
101.0,,,,,,,,,1.0,2.0,
103.0,1.0,,,,,,,,,1.0,
104.0,,,,,,,,,,2.0,
105.0,,,,,,,,,1.0,2.0,
108.0,,,,,,,,,,1.0,
109.0,,,,,,,,,,1.0,
110.0,,,,,,,,,,2.0,
111.0,,,,,,,,,,1.0,
113.0,,,,,,,,,,3.0,
115.0,,,,,,,,,,2.0,
116.0,,,,,,,,,1.0,,
117.0,,,,,,,,,,1.0,
119.0,,,,,,,,,1.0,1.0,
120.0,,,,,,,,,,4.0,
121.0,,,,,,,,,,1.0,
123.0,,,,,,,,,1.0,,
125.0,,,,,,,,,1.0,6.0,
126.0,,,,,,,,,,2.0,
127.0,,,,,,,,,,1.0,
128.0,1.0,,,,,,,,,1.0,
129.0,,,,,,,,,,1.0,
130.0,,,,,,,,,,4.0,
132.0,,,,,,,,,,2.0,
133.0,,,,,,,,,,3.0,
134.0,,,,,,,,,,1.0,
135.0,,,,,,,,,,4.0,
137.0,,,,,,,,,,3.0,
138.0,,,,,,,,,,1.0,
140.0,,,,,,,,,,3.0,
141.0,,,,,,,,,1.0,1.0,
142.0,,,,,,,,,1.0,1.0,
143.0,,,,,,,,,1.0,1.0,
145.0,,,,,,,,,,1.0,
146.0,,,,,,,,,,2.0,
147.0,,,,,,,,,1.0,2.0,
148.0,,,,,,,,,,2.0,
149.0,,,,,,,,,,3.0,
150.0,1.0,,,,,,,,1.0,5.0,
151.0,,,,,,,,,,2.0,
152.0,,,,,,,,,,2.0,
153.0,,,,,,,,,1.0,3.0,
154.0,,,,,,,,,,4.0,
155.0,,,,,,,,,,8.0,
156.0,,,,,,,,,,5.0,
157.0,,,,,,,,,,2.0,
158.0,,,,,,,,,,1.0,
159.0,,,,,,,,,2.0,1.0,
160.0,,,,,,,,,1.0,5.0,
161.0,,,,,,,,,,5.0,
162.0,1.0,,,,,,,,,2.0,
163.0,,,,,,,,,,2.0,
164.0,,,,,,,,,1.0,2.0,
165.0,,,,,,,,,2.0,5.0,
166.0,,,,,,,,,,1.0,
167.0,,,,,,,,,1.0,4.0,
168.0,,,,,,,,,,4.0,
169.0,,,,,,,,,,3.0,
170.0,,,,,,,,,3.0,9.0,
171.0,,,,,,,,,,3.0,
172.0,,,,,,,,,,3.0,
173.0,,,,,,,,,,4.0,
174.0,,,,,,,,,,4.0,
175.0,,,,,,,,,1.0,9.0,
176.0,,,,,,,,,1.0,5.0,
177.0,,,,,,,,,1.0,5.0,
178.0,,,,,,,,,,5.0,
179.0,,,,,,,,,,1.0,
180.0,1.0,,,,,,,,2.0,8.0,
181.0,,,,,,,,,,3.0,
182.0,,,,,,,,,,3.0,
183.0,,,,,,,,,2.0,1.0,
184.0,,,,,,,,,1.0,1.0,
185.0,,,,,,,,,,3.0,
187.0,,,,,,,,,1.0,2.0,
188.0,,,,,,,,,,3.0,
189.0,,,,,,,,,1.0,3.0,
190.0,,,,,,,,,,5.0,
191.0,,,,,,,,,1.0,,
192.0,,,,,,,,,,1.0,
193.0,,,,,,,,,,5.0,
194.0,,,,,,,,,,3.0,
195.0,1.0,,,,,,,,1.0,5.0,
196.0,,,,,,,,,,4.0,
197.0,,,,,,,,,2.0,8.0,
198.0,1.0,,,,,,,,2.0,6.0,
199.0,,,,,,,,,2.0,1.0,
200.0,,,,,,,,,1.0,8.0,
201.0,,,,,,,,,1.0,2.0,
202.0,,,,,,,,,,1.0,
203.0,,,,,,,,,,4.0,
204.0,,,,,,,,,1.0,2.0,
205.0,,,,,,,,,,3.0,
206.0,,,,,,,,,,2.0,
207.0,,,,,,,,,,1.0,
208.0,,,,,,,,,,3.0,
209.0,1.0,,,,,,,,,5.0,
210.0,,,,,,,,,,4.0,
211.0,,,,,,,,,1.0,1.0,
213.0,,,,,,,,,,3.0,
214.0,,,,,,,,,1.0,1.0,
215.0,,,,,,,,,,2.0,
216.0,1.0,,,,,,,,,2.0,
217.0,,,,,,,,,1.0,2.0,
218.0,,,,,,,,,,3.0,
219.0,,,,,,,,,,1.0,
220.0,,,,,,,,,1.0,6.0,
221.0,,,,,,,,,,1.0,
222.0,,,,,,,,,,1.0,
223.0,,,,,,,,,,2.0,
224.0,,,,,,,,,,4.0,
225.0,,,,,,,,,1.0,3.0,
226.0,,,,,,,,,1.0,3.0,
227.0,,,,,,,,,,1.0,
228.0,,,,,,,,,,2.0,
230.0,,,,,,,,,1.0,6.0,
231.0,,,,,,,,,,3.0,
232.0,1.0,,,,,,,,,3.0,
233.0,,,,,,,,,,2.0,
234.0,,,,,,,,,,1.0,
235.0,,,,,,,,,2.0,2.0,
236.0,,,,,,,,,1.0,3.0,
237.0,,,,,,,,,,1.0,
238.0,,,,,,,,,2.0,2.0,
239.0,,,,,,,,,1.0,2.0,
240.0,,,,,,,,,,2.0,
241.0,,,,,,,,,,1.0,
242.0,,,,,,,,,1.0,2.0,
243.0,,,,,,,,,1.0,1.0,
244.0,,,,,,,,,,1.0,
245.0,,,,,,,,,,1.0,
246.0,,,,,,,,,,1.0,
247.0,1.0,,,,,,,,,2.0,
248.0,,,,,,,,,,1.0,
250.0,,,,,,,,,,10.0,
251.0,,,,,,,,,,1.0,
252.0,,,,,,,,,1.0,1.0,
254.0,,,,,,,,,,1.0,
255.0,,,,,,,,,,5.0,
256.0,,,,,,,,,,2.0,
257.0,,,,,,,,,2.0,1.0,
259.0,,,,,,,,,1.0,4.0,
260.0,,,,,,,,,2.0,3.0,
261.0,,,,,,,,,,1.0,
262.0,,,,,,,,,,1.0,
263.0,,,,,,,,,,2.0,
265.0,,,,,,,,,,2.0,
266.0,,,,,,,,,,2.0,
267.0,,,,,,,,,,1.0,
269.0,,,,,,,,,,2.0,
270.0,,,,,,,,,,7.0,
271.0,1.0,,,,,,,,,1.0,
