,transgender male,female,male
Q31920,0.0,2.0,2.0
Q1400853,0.0,1.0,2.0
Q162219,0.0,0.0,1.0
Q844924,0.0,3.0,102.0
Q192431,0.0,3.0,7.0
Q11059,0.0,1.0,0.0
Q38867,0.0,0.0,1.0
Q184274,0.0,0.0,1.0
Q166234,0.0,0.0,1.0
Q1205637,0.0,0.0,1.0
Q166231,0.0,1.0,0.0
Q190721,0.0,0.0,1.0
Q456632,0.0,0.0,1.0
Q191633,0.0,0.0,1.0
Q192658,0.0,0.0,1.0
Q428995,0.0,0.0,1.0
Q19860,0.0,0.0,1.0
Q1409472,0.0,0.0,1.0
Q31728,0.0,0.0,2.0
Q131164,0.0,1.0,0.0
Q131165,0.0,0.0,1.0
Q104499,0.0,0.0,1.0
Q640068,0.0,0.0,1.0
Q191529,0.0,0.0,1.0
Q18336,0.0,0.0,2.0
Q118382,0.0,1.0,2.0
Q18334,0.0,2.0,5.0
Q690256,0.0,0.0,1.0
Q4868296,0.0,0.0,1.0
Q943929,0.0,1.0,0.0
Q211773,0.0,0.0,1.0
Q221618,0.0,1.0,0.0
Q520855,0.0,2.0,0.0
Q64418,0.0,0.0,1.0
Q2624777,0.0,0.0,1.0
Q102686,0.0,0.0,2.0
Q160342,0.0,0.0,1.0
Q1750812,0.0,0.0,1.0
Q8733,0.0,0.0,1.0
Q4022,0.0,1.0,0.0
Q4021,0.0,1.0,0.0
Q2708569,0.0,0.0,1.0
Q185217,0.0,0.0,1.0
Q1924856,0.0,0.0,1.0
Q841408,0.0,1.0,0.0
Q935586,0.0,0.0,1.0
Q11034,0.0,1.0,1.0
Q627767,0.0,0.0,1.0
Q53706,0.0,0.0,1.0
Q49780,0.0,0.0,4.0
Q861699,0.0,0.0,1.0
Q7567541,0.0,1.0,0.0
Q212238,0.0,0.0,2.0
Q6408486,0.0,0.0,1.0
Q30185,0.0,0.0,1.0
Q826582,0.0,1.0,1.0
Q11468,0.0,0.0,2.0
Q603399,0.0,0.0,1.0
Q12270024,0.0,0.0,1.0
Q1935974,0.0,0.0,2.0
Q1930187,0.0,0.0,3.0
Q6583695,0.0,0.0,1.0
Q42486,0.0,0.0,1.0
Q846566,0.0,1.0,0.0
Q735,0.0,1.0,3.0
Q2407,0.0,0.0,1.0
Q937857,0.0,0.0,1.0
Q37868,0.0,0.0,1.0
Q2066131,0.0,1.0,7.0
Q3634677,0.0,1.0,0.0
Q12156,0.0,0.0,1.0
Q16012028,0.0,0.0,1.0
Q29051,0.0,0.0,1.0
Q213156,0.0,4.0,1.0
Q4932206,0.0,0.0,5.0
Q2028068,0.0,1.0,0.0
Q847,0.0,1.0,0.0
Q43518,0.0,0.0,3.0
Q1455,0.0,0.0,1.0
Q83357,0.0,1.0,0.0
Q1817983,0.0,0.0,4.0
Q1332231,0.0,0.0,2.0
Q231250,0.0,1.0,0.0
Q1418771,0.0,1.0,0.0
Q37260,0.0,15.0,148.0
Q8078,0.0,0.0,5.0
Q2090950,0.0,0.0,1.0
Q181014,0.0,0.0,1.0
Q829348,0.0,1.0,0.0
Q7201504,0.0,0.0,1.0
Q53121,0.0,0.0,4.0
Q101017,0.0,0.0,1.0
Q212685,0.0,0.0,1.0
Q199655,0.0,1.0,0.0
Q351870,0.0,0.0,1.0
Q441,0.0,1.0,4.0
Q483501,0.0,1.0,1.0
Q29520,0.0,0.0,1.0
Q2221775,0.0,0.0,1.0
Q10872101,0.0,0.0,1.0
Q168800,0.0,0.0,1.0
Q156035,0.0,1.0,2.0
Q60242,0.0,0.0,0.0
Q843393,0.0,0.0,1.0
Q7123960,0.0,0.0,1.0
Q4830453,0.0,0.0,1.0
Q279272,0.0,0.0,1.0
Q10943,0.0,0.0,2.0
Q2117603,0.0,0.0,1.0
Q2346,0.0,1.0,5.0
Q187916,0.0,0.0,1.0
Q1430622,0.0,1.0,0.0
Q131572,0.0,1.0,0.0
Q37073,0.0,1.0,1.0
Q9471,0.0,2.0,8.0
Q242352,0.0,1.0,0.0
Q1336265,0.0,0.0,1.0
Q2855609,0.0,2.0,0.0
Q131683,0.0,0.0,2.0
Q11042,0.0,0.0,1.0
Q177409,0.0,0.0,2.0
Q15709513,0.0,0.0,1.0
Q6555,0.0,1.0,0.0
Q191600,0.0,0.0,1.0
Q1206081,0.0,0.0,1.0
Q12882396,0.0,0.0,1.0
Q1336170,0.0,0.0,2.0
Q538722,0.0,0.0,1.0
Q378789,0.0,1.0,0.0
Q33198,0.0,0.0,1.0
Q157146,0.0,2.0,4.0
Q24925,0.0,0.0,2.0
Q7834111,0.0,0.0,1.0
Q911554,0.0,0.0,1.0
Q11023,0.0,0.0,14.0
Q181784,0.0,1.0,0.0
Q486902,0.0,0.0,1.0
Q856251,0.0,0.0,2.0
Q720362,0.0,0.0,1.0
Q7202,0.0,2.0,2.0
Q7205,0.0,0.0,6.0
Q33999,0.0,0.0,1.0
Q1516453,0.0,0.0,1.0
Q131207,0.0,2.0,0.0
Q2024794,0.0,0.0,1.0
Q7590,0.0,0.0,2.0
Q2175941,0.0,0.0,1.0
Q1127717,0.0,0.0,2.0
Q424381,0.0,0.0,1.0
Q1333872,0.0,0.0,1.0
Q2539,0.0,1.0,0.0
Q1074539,0.0,0.0,1.0
Q193606,0.0,0.0,3.0
Q27908,0.0,1.0,0.0
Q81244,0.0,1.0,0.0
Q8676,0.0,1.0,0.0
Q1057314,0.0,0.0,1.0
Q13379990,0.0,0.0,1.0
Q132311,0.0,0.0,1.0
Q938714,0.0,0.0,2.0
Q2341579,0.0,0.0,1.0
Q3922505,0.0,0.0,1.0
Q31207,0.0,1.0,0.0
Q188867,0.0,0.0,1.0
Q5098980,0.0,1.0,0.0
Q1845,0.0,0.0,1.0
Q2405480,0.0,19.0,9.0
Q187791,0.0,0.0,1.0
Q30,0.0,0.0,1.0
Q204100,0.0,1.0,0.0
